a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
𒉾|gilim|gilim₂	<i>noun</i><br><ol><li>rodent, mongoose</li></ol>
𒉿|𒄑𒉿𒌆|𒄑𒌆𒉿|g̃eštug|g̃eštug₃|g̃eštug₂	<i>noun</i><br><ol><li>ear</li><li>intelligence, mind, understanding, reason</li></ol>
𒊊|pirig̃	<i>noun</i><br><ol><li>lion</li></ol>
𒊌|ug	<i>noun</i><br><ol><li>lion</li></ol>
𒊍|az	<i>noun</i><br><ol><li>bear</li></ol>
𒊏|raḫ|raḫ₂	<i>verb</i><br><ol><li>to hit, beat upon, strike down</li><li>to drive (animals)</li><li>to impress (a seal)</li></ol>
𒊑|re|ri	<i>verb</i><br><ol><li>to lie (heavily) upon, press upon, put onto/into</li><li>to push</li><li>to oppress</li><li>to affix, cover with</li><li>to found, erect, lay down</li><li>to equip with</li><li>to mix into</li><li>to impose</li><li>to lay down</li></ol><br><i>det</i><br><ol><li>(enclitic) that (far from both the speaker and the listener)</li></ol>
𒊑𒄩𒁵|𒅐|𒉃|dalḫamun|dalḫamun₇|dal-ḫa-mun|dalḫamun₆	<i>noun</i><br><ol><li>dust storm</li><li>disaster</li></ol>
𒊒|šub	<i>verb</i><br><ol><li>to let fall, be felled, fell</li><li>to throw down/away</li><li>to forsake, abandon, dismiss</li><li>to give up, leave off</li><li>to remove from</li></ol>
𒊓|sa	<i>noun</i><br><ol><li>sinew</li><li>string, cord</li><li>net</li><li>reed bundle, bunch</li></ol>
𒊓𒄤|sagaz|sa-gaz	<i>noun</i><br><ol><li>robber</li></ol>
𒊓𒌋𒃲|sa-šuš-gal|sa-šu₂-uš-gal|sašušgal|𒊓𒋙𒍑𒃲	<i>noun</i><br><ol><li>great battle-net (a weapon used to ensnaring enemies)</li></ol>
𒊕|sag̃	<i>noun</i><br><ol><li>head</li><li>front, fore, beginning</li><li>surface, top</li><li>man, person, human being</li><li>slave, servant</li></ol>
𒊕𒁍|𒊕⫽𒁍|sag̃ gid|sag̃ gid₂	<i>verb</i><br><ol><li>to get angry</li></ol>
𒊕𒁺|sag̃-du|sag̃du	<i>noun</i><br><ol><li>head</li></ol>
𒊕𒄄|𒊕⫽𒄄|sag̃ gi₄|sag̃ gi	<i>verb</i><br><ol><li>to block</li></ol>
𒊕𒄑𒊏|𒊕𒄑⫽𒊏|sag̃ g̃eš raḫ₂|sag̃-g̃eš-raḫ₂|sag̃g̃ešraḫ|sag̃ g̃eš raḫ	<i>noun</i><br><ol><li>murder</li></ol><br><i>verb</i><br><ol><li>to kill, murder</li></ol>
𒊕𒅍|sag̃ il|𒊕⫽𒅍|sag̃ il₂	<i>verb</i><br><ol><li>to raise the head</li></ol>
𒊕𒆕|sag̃du|sag̃-du₃	<i>noun</i><br><ol><li>(geometry) triangle</li></ol>
𒊕𒆠|sag̃ki|sag̃-ki	<i>noun</i><br><ol><li>front, brow</li></ol>
𒊕𒈪𒂵|Sag̃-Giga|sag̃-gig₂-ga	<i>name</i><br><ol><li>Black Headed Ones (native designation for the Sumerians)</li></ol>
𒊕𒉺𒆸|zaraḫ	<i>noun</i><br><ol><li>lamentation, wailing, unrest</li></ol>
𒊨|sur₂|dul₃|sumur|šur₂|kuš₂|dul|kušu	<i>noun</i><br><ol><li>shade</li></ol><br><i>verb</i><br><ol><li>to be angry, furious</li></ol>
𒊨𒅇|kuš₂|kuš₂-u₃|𒊨|kušu	<i>verb</i><br><ol><li>to be tired, exhausted, weary</li><li>to be troubled, agitated</li><li>to sigh</li><li>to ponder, deliberate</li><li>to relax, rest, be calm</li></ol>
𒊩|munus|sal	<i>noun</i><br><ol><li>woman, female</li></ol><br><i>verb</i><br><ol><li>to be fine, thin, delicate</li><li>to be frivolous</li></ol>
𒊩𒆳|gan|geme₂|𒃶|geme	<i>noun</i><br><ol><li>dependent woman, female slave</li></ol>
𒊩𒆷|gal₄-la|gala	<i>noun</i><br><ol><li>female genitals, vulva</li></ol>
𒊩𒈨|lukur	<i>noun</i><br><ol><li>a kind of priestess</li><li>a cloistered woman</li></ol>
𒊬|mu|kiri₆|mu₂|sar|kiri	<i>noun</i><br><ol><li>orchard</li><li>garden plot</li></ol><br><i>verb</i><br><ol><li>to write (on), inscribe</li><li>to run, hasten</li><li>to chase away</li><li>to grow up, grow out, sprout</li><li>to ignite</li><li>to incite</li></ol>
𒊮|ša₃|šag₄|šag	<i>noun</i><br><ol><li>heart, inside, interior, middle</li><li>womb</li></ol>
𒊮𒆸|𒊮⫽𒆸|šag gur|šag₄ gur₄	<i>verb</i><br><ol><li>to feel wonderful</li></ol>
𒊷|sa₆|ša₆|sag|sag₉|𒅆𒂟|g̃ešnimbar|sig₅|sag₁₀	<i>noun</i><br><ol><li>date palm</li></ol><br><i>verb</i><br><ol><li>to be good, excellent</li><li>to be beautiful</li><li>to be pleasing</li><li>(omen) to be favorable</li></ol>
𒊹|šar₂|šar	<i>num</i><br><ol><li>three thousand six hundred (3,600)</li><li>totality, world</li><li>many</li></ol>
𒊹𒃲|šar₂-gal|šargal	<i>num</i><br><ol><li>two hundred sixteen thousand, 216,000 (60×60×60)</li></ol>
𒊺|še	<i>noun</i><br><ol><li>barley, grain</li><li>a weight measure, equal to 1/180 𒂅 (gin₂ /gig̃/, “shekel”), ca. 1/20 gr.</li></ol><br><i>det</i><br><ol><li>(enclitic) that (near to the listener)</li></ol>
𒊺𒅁|še-eb|šeb	<i>noun</i><br><ol><li>(Emesal) brick</li></ol>
𒊻|uz|𒊻𒄷	<i>noun</i><br><ol><li>wild duck</li></ol>
𒋀|ses|/ses/|mun₄|šeš|sis	<i>noun</i><br><ol><li>brother</li><li>junior worker, assistant</li></ol><br><i>verb</i><br><ol><li>to be bitter, brackish, saline</li></ol>
𒋀𒀕𒆠|urim₂ᵏⁱ|𒋀𒀊|Urim|𒋀𒀊𒆠|urim₅ᵏⁱ|𒋀𒀕|urim₂|urim₅	<i>name</i><br><ol><li>Ur (city in southern Mesopotamia, cult centre of 𒀭𒂗𒍪 (ᵈsuen /Suen/))</li></ol>
𒋁|form 𒋁𒋁|še₈|šeš₂|šeš	<i>verb</i><br><ol><li>to weep, cry</li></ol>
𒋃|lag|sag̃a|bešeg̃|bisag̃₂	<i>noun</i><br><ol><li>chief (of temple or palace), official, administrator</li></ol>
𒋆|šim	<i>noun</i><br><ol><li>aromatic substance, aromatics</li></ol>
𒋆𒁉𒍣𒁕|šembizida|𒎎𒋆𒁉𒍣𒁕|šem-bi-zi-da	<i>noun</i><br><ol><li>kohl, antimony paste, eye makeup, mascara</li></ol>
𒋗|šu	<i>noun</i><br><ol><li>hand</li><li>handwriting</li><li>responsibility</li><li>pestle, muller, pounding stone</li></ol>
𒋗𒁶|šu dim|šu dim₂|𒋗⫽𒁶	<i>verb</i><br><ol><li>to build</li></ol>
𒋗𒃻𒌉𒇲|tukun|tukum	<i>adv</i><br><ol><li>immediately</li></ol><br><i>conj</i><br><ol><li>if</li></ol>
𒋗𒃻𒌉𒇲𒁉|tukun-be₂|tukumbê	<i>conj</i><br><ol><li>if</li></ol>
𒋗𒅆𒌨|šu ḫul|šu ḫulu|𒋗⫽𒅆𒌨	<i>verb</i><br><ol><li>to destroy</li></ol>
𒋗𒆸|šurin|šunig̃in|šu-nig̃in₂|šu-rin	<i>noun</i><br><ol><li>total, sum</li></ol>
𒋗𒋳|𒋗⫽𒋳|šu tag	<i>verb</i><br><ol><li>to decorate</li></ol>
𒋙|šu₂|šuš|šu|šuš₂	<i>noun</i><br><ol><li>totality, world</li></ol><br><i>verb</i><br><ol><li>to cover, spread over, apply</li><li>to overwhelm, envelope, cast down</li><li>to become obscure, dark</li><li>to set (said of the sun)</li></ol>
𒋙𒀭|en₂|en|𒁇𒀭|BAR.AN	<i>noun</i><br><ol><li>incantation, spell</li></ol>
𒋚|šaḫ|šubur|subur	<i>noun</i><br><ol><li>slave, servant</li></ol><br><i>name</i><br><ol><li>Subartu (a region of upper Mesopotamia in the Bronze Age, which later came to be called Assyria.)</li></ol>
𒋛|sig|sig₉|si	<i>noun</i><br><ol><li>horn</li><li>finger</li><li>fret</li></ol><br><i>verb</i><br><ol><li>to fill</li></ol>
𒋛𒀀|dirig|diri	<i>noun</i><br><ol><li>excess</li></ol><br><i>verb</i><br><ol><li>to exceed, surpass</li><li>to be big, huge, abundant</li><li>to be excellent, supreme</li><li>to be powerful, competent</li><li>to float, glide</li></ol>
𒋛𒃻|sig̃ar|si-g̃ar	<i>noun</i><br><ol><li>bolt, clamp</li></ol>
𒋜|su|su₄	<i>verb</i><br><ol><li>to be red, brown</li></ol>
𒋞|murgu|šeg|egir₆|sig₄|egir|SIG₄|šeg₁₂	<i>noun</i><br><ol><li>mudbrick, brick</li></ol>
𒋞𒀲|šeg₁₂-anše|šeganše	<i>noun</i><br><ol><li>pile of bricks</li></ol>
𒋠|sig₂|siki	<i>noun</i><br><ol><li>wool, fleece</li><li>hair</li></ol>
𒋢|su|kuš	<i>noun</i><br><ol><li>skin hide</li><li>leather</li><li>body</li><li>flesh</li><li>kin, family</li></ol><br><i>verb</i><br><ol><li>to sink</li><li>to submerge</li><li>to drain</li></ol>
𒋢𒀀𒂔𒇲|𒀀𒂔𒇲|ummu₃|ummud	<i>noun</i><br><ol><li>waterskin</li></ol>
𒋤|sud|su₃|𒁍|sud₄|suř	<i>verb</i><br><ol><li>to be distant, remote</li><li>to be long-lasting, long-lived</li><li>to extend, prolong, elongate</li></ol>
𒋦|suḫur	<i>noun</i><br><ol><li>tuft, plume</li><li>crown, top (of a tree)</li></ol>
𒋧|sig|sig₉|šum₂ˢᵃʳ|sig₁₀|šum|𒋧𒊬|šum₂|𒋳|𒋛	<i>verb</i><br><ol><li>to put into/onto, load onto (a boat)</li><li>to pile up, heap up, store in</li><li>to fuel a fire</li><li>to drive into</li><li>to embed</li><li>to harness</li><li>to assign to</li><li>to pay back, take revenge on</li><li>to give</li></ol><br><i>noun</i><br><ol><li>garlic</li><li>onion</li></ol>
𒋫|ta	<i>particle</i><br><ol><li>(place) from, out of</li><li>(time) from, since</li><li>(instrumental) with, by means of</li><li>(causal) thanks to, because of</li></ol><br><i>pron</i><br><ol><li>(Emesal, interrogative) what</li></ol>
𒋭|lal₃|lal	<i>noun</i><br><ol><li>syrup</li><li>honey</li></ol>
𒋰|min₆|min|tab	<i>verb</i><br><ol><li>to begin, to start</li><li>to make or dye red</li><li>to brand, to mark</li><li>to double, to repeat</li><li>to partner, to be parallel</li><li>to flatten, to lay flat</li><li>to grasp, to hold</li></ol><br><i>noun</i><br><ol><li>companion, partner</li><li>illness, disease (perhaps originally a fever derived from "to burn")</li></ol>
𒋳|tuku|tibir|šum|tag|tuku₅	<i>verb</i><br><ol><li>to attack</li><li>to bind</li><li>to take hold of</li><li>to touch</li><li>(music) to play</li><li>to beat</li><li>to strike (of cloth)</li><li>to weave</li></ol><br><i>noun</i><br><ol><li>tag</li><li>touch</li><li>slaughter</li><li>palm, (cupped) hand</li><li>fist</li></ol>
𒋺|taka|tak₄	<i>verb</i><br><ol><li>to leave, leave behind, abandon, set aside</li></ol>
𒋻|ku₅|ḫaš|kuř|kudr|kud|tar|sila	<i>noun</i><br><ol><li>street</li><li>outstanding dues</li><li>heel</li></ol><br><i>verb</i><br><ol><li>to break off, divert (water), split open</li><li>to break off, deduct</li><li>to cut off, separate</li><li>to cut, incise</li><li>to decide (verdicts), make clear</li><li>to divide, separate, cut, cut down</li><li>to untie, loosen</li><li>to scatter, disperse</li></ol>
𒋼|tig̃₄|te|teg̃|𒋼|mul|temen|mul₂|𒋾|ti|teg̃₄|TE|teg̃₃	<i>noun</i><br><ol><li>cheek</li><li>membrane</li><li>foundation</li></ol><br><i>verb</i><br><ol><li>to pierce</li><li>to be near, approach</li></ol>
𒋼𒀀|kar	<i>noun</i><br><ol><li>quay, harbor</li></ol>
𒋼𒀀𒀝𒆤|kar-kid₃ᵏⁱᵈ|karkid	<i>noun</i><br><ol><li>prostitute</li></ol>
𒋼𒇲|𒋼|galla|gal₅-la₂|TE	<i>noun</i><br><ol><li>(Ur III) policeman, constable</li><li>(post-Ur III) gallu demon (a demonic bailiff of the netherworld)</li></ol>
𒋾|tig̃₄|til|til₃|ti|𒋾𒋾|𒁷|teg̃₄|tin|𒁁	<i>noun</i><br><ol><li>rib</li><li>arrow</li></ol><br><i>verb</i><br><ol><li>to live, be alive</li><li>to revive</li><li>to dwell, reside</li></ol>
𒌁|𒄑𒌁|tir	<i>noun</i><br><ol><li>forest</li></ol>
𒌆|mur|tug|mu₄|tug₂|𒉇	<i>noun</i><br><ol><li>cloth, garment, textile, woolen garment</li></ol><br><i>verb</i><br><ol><li>to dress, clothe oneself, wear</li></ol>
𒌇|tuku|tuk|𒌇𒌇	<i>verb</i><br><ol><li>to acquire, obtain</li><li>to have, possess</li><li>to marry</li><li>(music) to play (a musical instrument)</li></ol>
𒌉|dumu|banda₃|𒌉𒌉|banda|tur	<i>adj</i><br><ol><li>small(er), young(er), minor, junior</li><li>short (time)</li><li>impetuous, wild</li><li>small</li><li>young</li><li>brief</li></ol><br><i>noun</i><br><ol><li>young one, child, infant</li><li>offspring, progeny</li><li>attendant</li><li>child, son, daughter</li><li>citizen (of a particular city)</li><li>member of a class, group, craft</li></ol><br><i>verb</i><br><ol><li>to be small, young</li><li>to reduce, subtract, diminish, deduct</li></ol>
𒌉𒂠|dumu-gir₁₅|kug̃|kug̃₅|kun₅|dumugir	<i>noun</i><br><ol><li>citizen</li></ol>
𒌉𒊩|dumu-munus|dumumunus	<i>noun</i><br><ol><li>daughter</li></ol>
𒌉𒍑|dumu-nita|dumunita|ibila	<i>noun</i><br><ol><li>male child, son</li><li>heir</li></ol>
𒌋|šug|umun|burud|giguru|bur₃|u|bur|šu₄	<i>noun</i><br><ol><li>breach, hole</li><li>depression, low-lying area, depth</li><li>unit of area and volume "bur"</li><li>edge, rim</li><li>abuse</li><li>finger</li><li>gift</li><li>totality</li><li>hole, earth</li></ol><br><i>verb</i><br><ol><li>to perforate</li><li>to be deep</li></ol><br><i>num</i><br><ol><li>ten, 10</li></ol>
𒌋𒀜|gir|gir₄	<i>noun</i><br><ol><li>oven, kiln (for lime or bitumen)</li></ol>
𒌋𒁯|Ištar|ašdar	<i>name</i><br><ol><li>Ishtar</li></ol>
𒌋𒅗|ugu	<i>noun</i><br><ol><li>skull, pate, top (of the head)</li></ol>
𒌍|ušu₃|ušu	<i>num</i><br><ol><li>thirty, 30</li></ol>
𒌑|u₂|u	<i>noun</i><br><ol><li>plant, grass</li><li>food</li><li>pasture</li><li>grass-fed, free-range (animal)</li></ol>
𒌑𒀀|u₂-a|u'a	<i>noun</i><br><ol><li>food and drink, sustenance</li><li>provisioner, provider (of a land or a temple)</li></ol>
𒌑𒄉|kišig|kiši₁₆|𒄉|kiši₁₇|kišig₂	<i>noun</i><br><ol><li>(a kind of) acacia</li></ol>
𒌑𒌃|ninni₅|𒌃|ninni	<i>noun</i><br><ol><li>reeds, rushes</li></ol>
𒌓|ud|u₄|babbar₂|𒌓𒌓|zalag|utu|babbar|Utu	<i>verb</i><br><ol><li>to be white</li><li>to be pure</li><li>to be bright, shine</li></ol><br><i>noun</i><br><ol><li>sun</li><li>day</li><li>heat</li><li>a fever</li><li>summer</li></ol>
𒌓𒁀|u₄-ba|ud-ba|ud-bâ	<i>phrase</i><br><ol><li>then, at that time</li><li>formerly</li></ol>
𒌓𒁺|ed|e₃	<i>verb</i><br><ol><li>to leave, go out</li><li>to come, go forth</li><li>to withdraw, remove, bring out</li><li>to escape</li></ol>
𒌓𒅗𒁇|zabar|𒆉𒁇|zabar₃	<i>noun</i><br><ol><li>bronze</li><li>bronze vessel, bronze-ware, bronzes</li><li>mirror</li></ol>
𒌓𒅗𒁇𒋗|zabaršu|zabar-šu	<i>noun</i><br><ol><li>hand mirror</li></ol>
𒌓𒊬|u₄-sakar|usakar	<i>noun</i><br><ol><li>crescent moon</li><li>day of the first visibility of the new moon, beginning of the month</li><li>crescent-shaped object or semi-circular line</li><li>whiskers</li></ol>
𒌗|itud₂|iti|itu|𒌚|itid/|itid|𒌛|itud	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
𒌙|murub2|murub|murub₆|𒊩𒇬	<i>noun</i><br><ol><li>chest, hips, buttocks, rump</li><li>female genitals, vulva</li><li>midst</li><li>space between, distance</li><li>mouth</li><li>gate (of city or large building)</li></ol>
𒌢|umbin	<i>noun</i><br><ol><li>nail, claw, talon, hoof</li><li>finger, toe</li><li>(furniture) foot</li></ol>
𒌣|umun|umun₂|si₇|simug	<i>noun</i><br><ol><li>smith, metalworker</li><li>knowledge, cleverness</li></ol>
𒌤|de₂|de	<i>verb</i><br><ol><li>to pour, winnow</li></ol>
𒌦|ug̃|un|kalam|ug̃₃	<i>noun</i><br><ol><li>land, country, nation (normally referring to Sumer).</li><li>people, population</li></ol>
𒌨|ur	<i>noun</i><br><ol><li>a beast of prey, dog, lion</li><li>(personal names) mostly translated as "dog of" when followed by a divine name, but some have connected it to the pronoun 𒄯 (ur₅ /ur/, “he of, the one of”). When it follows a divine name in the phrase 𒌨𒈬 (ur-g̃u₁₀ /tešg̃u/, “my pride, my dignity”), scholars agree on the reading 𒌨 (teš₂ /teš/).</li></ol>
𒌨𒀭𒇉|d	<i>name</i><br><ol><li>Ur-Nammak (Sumerian king, founder of the Sumerian Third Dynasty of Ur, famous for his law-code)</li></ol>
𒌨𒁇𒊏|urbarak|ur-bar-ra	<i>noun</i><br><ol><li>wolf</li></ol>
𒌨𒂠|ur-gi₇|urgir|ur-gir₁₅	<i>noun</i><br><ol><li>domesticated dog</li></ol>
𒌨𒈤|urmaḫ|ur-maḫ	<i>noun</i><br><ol><li>lion</li><li>figurine of a lion</li></ol>
𒌨𒈨|ur-me|urme	<i>noun</i><br><ol><li>a type of insect</li></ol>
𒌨𒊕|ursag̃|ur-sag̃	<i>noun</i><br><ol><li>hero</li></ol>
𒌨𒌉|ur-tur|urtur	<i>noun</i><br><ol><li>puppy</li></ol>
𒌫|ur₂|ur	<i>noun</i><br><ol><li>root, trunk, base</li><li>limb, leg</li><li>loin, lap</li></ol>
𒌵|uri	<i>noun</i><br><ol><li>vessel</li></ol>
𒌵𒆠|uriᵏⁱ|Uri|𒌵	<i>name</i><br><ol><li>Akkad</li></ol>
𒌶|urin	<i>noun</i><br><ol><li>standard</li><li>a type of fish</li></ol>
𒌷|iri|𒍍|uru₂|uru	<i>noun</i><br><ol><li>city, town</li></ol>
𒍇|ulu₃|ulu	<i>noun</i><br><ol><li>south wind</li><li>storm, sandstorm</li><li>an ulu demon</li></ol>
𒍎|banšur	<i>noun</i><br><ol><li>table</li><li>offering table, altar</li></ol>
𒍏|urud|uruda|dab|urudu|dab₆	<i>noun</i><br><ol><li>copper</li></ol>
𒍏𒄩𒍣𒅔	<i>noun</i><br><ol><li>axe</li></ol>
𒍑|g̃eš|g̃iš/|nita₂|us|𒀴|g̃eš₃|nita|us₂	<i>noun</i><br><ol><li>penis</li><li>man, male</li></ol><br><i>verb</i><br><ol><li>to be adjacent to, border on</li><li>to lean/lie against</li><li>to moor (a boat)</li><li>to accompany, follow</li></ol>
𒍑𒆪|gala	<i>noun</i><br><ol><li>lamentation singer/priest, a gala priest</li></ol>
𒍚|ud₅|uz₃|uzud	<i>noun</i><br><ol><li>female goat</li></ol>
𒍜|uzu	<i>noun</i><br><ol><li>flesh, meat</li><li>body, carcass</li><li>entrails</li><li>omen</li></ol>
𒍝|za	<i>noun</i><br><ol><li>bead, precious stone, gem</li></ol>
𒍝𒄢|gug	<i>noun</i><br><ol><li>tooth</li><li>blade</li><li>beak</li><li>dog bite</li></ol>
𒍝𒆳|za-gin₃|zagin	<i>noun</i><br><ol><li>lapis lazuli</li><li>dark blue</li></ol>
𒍠|zag	<i>noun</i><br><ol><li>side</li><li>right side, the right</li><li>shoulder</li><li>outer edge, outskirts, border, frontier, end, limit</li></ol>
𒍢|ze₂|za-e|markers 𒍝|ze|𒍝𒂊	<i>pron</i><br><ol><li>you, thou (second-person independent personal pronoun)</li></ol>
𒍢𒅁|zeb|ze₂-eb	<i>verb</i><br><ol><li>(Emesal) to be good, sweet</li></ol>
𒍢𒉘|zeg̃|ze₂-eg̃₃	<i>verb</i><br><ol><li>to give</li></ol>
𒍣|zig|zi|zid|zig₃	<i>noun</i><br><ol><li>life</li><li>breath</li><li>throat</li></ol><br><i>verb</i><br><ol><li>to be true, righteous, trusty, faithful</li><li>to be good, fine</li><li>to rise, raise</li><li>to get excited</li><li>to muster, levy, call up, mobilise</li><li>to remove, deduct</li></ol>
𒍥|zid|zid₂|zi₃	<i>noun</i><br><ol><li>flour</li></ol>
𒍨|zib₂|ḫaš₂|𒍦|ḫaš₄|ḫaš|𒍮|zib	<i>noun</i><br><ol><li>lower body, abdomen</li><li>thigh</li><li>crotch</li><li>mark, token</li><li>colour, paint</li></ol>
𒍩|ziz₂	<i>noun</i><br><ol><li>emmer wheat</li></ol>
𒍪|zu	<i>noun</i><br><ol><li>a building material</li></ol><br><i>verb</i><br><ol><li>to know</li><li>to know how, be able to</li><li>to experience</li><li>to acknowledge, make known, proclaim</li><li>to learn, discover</li><li>to inform, teach</li></ol><br><i>pron</i><br><ol><li>(enclitic) thy, your (second-person possessive pronoun)</li></ol>
𒍪𒉈𒉈|zu-ne-ne|zunēnē	<i>pron</i><br><ol><li>(enclitic) your, of you all (second-person plural possessive pronoun)</li></ol>
𒍮𒅗|ḫaš₄ dug₄|𒍮⫽𒅗|ḫaš dug	<i>verb</i><br><ol><li>to have sex</li></ol>
𒍼|kib₃|gig|kib	<i>noun</i><br><ol><li>wheat</li></ol><br><i>verb</i><br><ol><li>to be sick, sore, weak, to hurt</li><li>to be troublesome, painful, bad, evil, bitter, hateful</li><li>to be interdicted, taboo</li></ol>
𒎎|na|𒈾|na₄	<i>noun</i><br><ol><li>stone, boulder</li><li>precious stone, gem</li></ol>
𒎎𒆗	<i>noun</i><br><ol><li>diorite</li></ol>
𒎏|nin	<i>noun</i><br><ol><li>lady, queen, mistress</li><li>(in male gods' names) lord</li><li>sister</li></ol>
𒎐|nin₉|nin	<i>noun</i><br><ol><li>sister</li></ol>
𒎘|eme|eme₂|umme	<i>noun</i><br><ol><li>wet nurse</li></ol>
𒎙|niš	<i>num</i><br><ol><li>twenty, 20</li></ol>
𒐈|𒐻|eš|eš₅|𒐁|eš₆|eš₂₁|eš₁₆|𒐺|𒀼	<i>num</i><br><ol><li>three, 3</li></ol>
𒐉|limmu₂|𒐂|𒐼|limmu₅|limmu	<i>num</i><br><ol><li>four, 4</li></ol>
𒐊|ia₂|i|ya|i₂	<i>num</i><br><ol><li>five, 5</li></ol>
𒐋|aš₃|āš	<i>num</i><br><ol><li>six, 6</li></ol>
𒐌|umun|imin|imin₂|umun₈|umin|𒐅	<i>num</i><br><ol><li>seven, 7</li><li>(poetic) many, all</li></ol>
𒐍|ussu	<i>num</i><br><ol><li>eight, 8</li></ol>
𒐏|nimin	<i>num</i><br><ol><li>forty, 40</li></ol>
𒐐|ninnu	<i>num</i><br><ol><li>fifty, 50</li></ol>
𒐕|g̃ešd|g̃eš₂	<i>num</i><br><ol><li>sixty, 60</li></ol>
𒐕𒈫|g̃ešmin|g̃eš₂-min	<i>num</i><br><ol><li>hundred and twenty, 120</li></ol>
𒐕𒐉|g̃ešlimmu|g̃eš₂-limmu₅	<i>num</i><br><ol><li>two hundred and forty, 240</li></ol>
𒐕𒐌	<i>num</i><br><ol><li>four hundred and twenty, 420</li></ol>
𒐞|g̃ešdu|g̃eš₂-u	<i>num</i><br><ol><li>six hundred, 600</li></ol>
𒐞𒈫	<i>num</i><br><ol><li>one thousand two hundred, 1,200</li></ol>
𒐬|šaru	<i>num</i><br><ol><li>thirty-six thousand, 36,000</li></ol>
𒑆|𒐎|ilimmu	<i>num</i><br><ol><li>nine, 9</li></ol>
