'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
lugaw|lugáw	<i>noun</i><br><ol><li>lugaw (rice porridge or gruel, especially the Filipino variety)</li><li>cooking of lugaw</li></ol><br><i>adj</i><br><ol><li>(figuratively) unable to think clearly; confused</li></ol>
lugay|lugáy	<i>adj</i><br><ol><li>hanging loose and not done up (of a woman's long hair)</li><li>having hair hanging loose and not done up (of a woman)</li></ol><br><i>noun</i><br><ol><li>loosening of a woman's hair to hang loosely (when knotted or in a bun)</li></ol>
lugi	<i>noun</i><br><ol><li>(business) loss in a transaction</li><li>(business) business failure</li></ol><br><i>adj</i><br><ol><li>(business) at a loss; resulting in a loss</li></ol>
lugit	<i>noun</i><br><ol><li>extension of deadline for payment (of one's debts, bills, etc.)</li><li>additional length added as allowance for shrinkage</li><li>handicap given to a player in games (as in racing, boxing, etc.)</li></ol>
luglog|luglóg	<i>noun</i><br><ol><li>rinsing by shaking in water (especially a bottle)</li><li>shaking to make something fall (such as fruits on a tree)</li><li>pancit luglug (a type of pancit)</li></ol><br><i>adj</i><br><ol><li>rinsed by shaking in water (especially a bottle)</li><li>fallen after shaking (such as fruits on a tree)</li><li>shaken; rocked (of passengers on a vehicle)</li><li>dipped in boiling stock then added with condiments (of noodles cooked as pancit luglug)</li></ol>
lugmok|lugmók	<i>adj</i><br><ol><li>helplessly prostrate (usually by some tragic emotion)</li><li>bedridden</li></ol><br><i>noun</i><br><ol><li>prostrating helplessly (usually by some tragic emotion)</li><li>condition of being bedridden</li></ol>
lugnas|lugnás	<i>adj</i><br><ol><li>detached; falling easily (as fruits on a tree, stem, etc.)</li></ol>
lugo|lugó	<i>adj</i><br><ol><li>extremely weakened by disease (especially of birds and fowl, figuratively with humans)</li></ol><br><i>noun</i><br><ol><li>extreme weakness due to disease or frustration</li></ol>
lugod|lugód	<i>noun</i><br><ol><li>delight; pleasure; satisfaction</li></ol>
lugot|lugót	<i>adj</i><br><ol><li>wilted and falling (of leaves and petals)</li></ol><br><i>noun</i><br><ol><li>wilting and falling (of leaves and petals)</li></ol>
lugpo|lugpô	<i>adj</i><br><ol><li>prostrate with no strength to get up (of a bedridden or collapsed person)</li></ol><br><i>noun</i><br><ol><li>condition of being prostrate with no strength to get up (of a bedridden or collapsed person)</li></ol>
lugso|lugsô	<i>adj</i><br><ol><li>collapsed; fallen down; caved in (due to a weak structure)</li><li>(figuratively) raped; sexually violated (of a virgin woman)</li></ol><br><i>noun</i><br><ol><li>cave in; collapse (due to a weak structure)</li><li>part of a structure that collapsed or caved in</li><li>(figuratively) rape; sexual violation (of a virgin woman)</li></ol>
luha|luhà	<i>noun</i><br><ol><li>tear; teardrop</li><li>jewbush (Euphorbia tithymaloides)</li></ol>
luha ng buwaya|luhà ng buwaya	<i>noun</i><br><ol><li>(idiomatic) crocodile tear</li></ol>
luho|luhò	<i>noun</i><br><ol><li>luxury</li><li>extravagance; wasteful spending</li></ol>
luhod|luhód	<i>noun</i><br><ol><li>kneeling</li><li>kneeling and kissing of the hands of elders (as a sign of respect)</li><li>(figuratively) submission; surrender</li></ol><br><i>intj</i><br><ol><li>kneel down!</li></ol>
luhuran|makiluhod|pinapaluhuran|papapagluhuran|aluhuran|ikaluluhod|ikinapagpaluhod|papaluhurin|ipapanluhod|nakipagpaluhod|papagpaluhuran|lúhúran|pagpaluhuran|kapagpapaluhod|luhod|pinapapagluhuran|ipanluhod|pinaluhod|ipagpaluhod|niluluhuran|kakaluhod|ikaluhod|pinaluluhod|iniluhod|paluhurin|pinapaluhod|pagluluhuran|makikiluhod|luluhuran|⁠kapaluluhod|magpapaluhod|pinapagpaluhuran|ikinakapagpaluhod|nagpaluhod|ikakaluhod|pinaluhuran|paluluhurin|ipagpapaluhod|nakiluhod|papaluhuran|maluhod|ipapagpaluhod|ikinakaluhod|makipagpaluhod|paluhuran|pinagluhuran|luhurán|niluhuran|paluluhuran|nakikiluhod|kapapaluhod|ipinagpaluhod|ipinagpapaluhod|naluhod|lumuluhod|kakapaluhod|ipinapanluhod|iniluluhod|papagluhuran|iluhod|lumuhod|kaluluhod|pinaluluhuran|pagluhuran|magpaluhod|pinagpaluhuran|ikinapagpapaluhod|makikipagpaluhod|ipinanluhod|nagpapaluhod|ikinaluhod|ikapagpapaluhod|pinagpapaluluhuran|iluluhod|ikapagpaluhod|ikinaluluhod|ipinapagpaluhod|pinagluluhuran|pagpapaluluhuran|luluhod|ikakapagpaluhod|inaluhuran|pinapagluhuran|nakikipagpaluhod	<i>noun</i><br><ol><li>kneeler; hassock (cushion used for resting in a kneeling position)</li><li>place where one kneels (especially in church for Communion)</li><li>simultaneous kneeling of people (as in prayer)</li><li>knee pad; knee protector</li></ol><br><i>verb</i><br><ol><li>to kneel on; to use for kneeling on</li><li>to kneel and kiss the hand of (one's elders)</li><li>(figuratively) to surrender to</li></ol>
lukba|lukbâ	<i>noun</i><br><ol><li>jerked meat</li><li>jerking of meat</li></ol><br><i>adj</i><br><ol><li>jerked</li></ol>
lukban|lukbán	<i>noun</i><br><ol><li>(chiefly dialectal, Marinduque) pomelo</li></ol>
lukbot|lukbót	<i>noun</i><br><ol><li>pouch; purse; small bag</li></ol>
lukemya	<i>noun</i><br><ol><li>leukemia</li></ol>
luklok|luklók	<i>noun</i><br><ol><li>assumption of a position; taking over of an office (of an official, minister, etc.)</li><li>sitting; sitting down</li><li>taro leaves; gabi leaves</li></ol>
luklukan|inaluklukan|aluklukan|lukluki|luklukán|luluklukan|niluklukan|niluluklukan|luklok	<i>noun</i><br><ol><li>throne; seat of honor</li><li>place where one sits</li></ol><br><i>verb</i><br><ol><li>to sit on</li></ol>
lukob|lukób	<i>noun</i><br><ol><li>sheltering with wings (as of a bird to its young)</li><li>(by extension) giving of protection (to someone)</li><li>placing under one's authority</li><li>centering chisel (chisel having a concave, sharp blade)</li><li>carpenter's gauge</li></ol><br><i>adj</i><br><ol><li>covered; sheltered (especially by wings)</li><li>under someone's authority</li><li>convex</li></ol>
lukong|lukóng	<i>noun</i><br><ol><li>concavity (of plates, dishes, etc.)</li><li>(anatomy) hollow of one's palm</li></ol>
lukot|lukót	<i>adj</i><br><ol><li>crumpled; rumpled; with creases or wrinkles</li></ol><br><i>noun</i><br><ol><li>crumpling; rumpling; wrinkling</li><li>crease; wrinkle (in clothes, etc.)</li><li>a species of small honeybee that makes bitterish honey</li></ol>
luksa|luksâ	<i>adj</i><br><ol><li>in mourning clothes (usually black)</li><li>mourning; grieving (over death of someone)</li></ol><br><i>noun</i><br><ol><li>mourning</li><li>period of mourning</li><li>mourning clothes (usually black)</li></ol>
lukso|ᜎᜓᜃ᜔ᜐᜓ|luksó|luksu	<i>noun</i><br><ol><li>jump; leap</li></ol>
lukto|luktô	<i>noun</i><br><ol><li>omission; space left unfilled</li></ol>
lukton|luktón	<i>noun</i><br><ol><li>young, wingless locust</li></ol>
lukulok|lukulók	<i>adj</i><br><ol><li>melancholic; in a melancholic mood</li></ol>
lukutan	<i>noun</i><br><ol><li>honeycomb of the lukot bee (which has bitterish honey)</li></ol>
lula|lola|lulâ|lulà|lolà|lolâ	<i>noun</i><br><ol><li>dizziness; nausea; queasiness; vertigo</li><li>seasickness</li><li>acrophobia; fear of heights</li></ol><br><i>adj</i><br><ol><li>dizzy; nauseous</li><li>seasick</li><li>acrophobic; afraid of heights</li></ol>
lulan	<i>noun</i><br><ol><li>loading of cargo (into a vehicle)</li><li>load; cargo; freight</li><li>taking in of passengers (into a vehicle)</li><li>passengers (of a vehicle)</li><li>riding of passengers (into a vehicle)</li></ol><br><i>adj</i><br><ol><li>on board; aboard</li></ol>
lulay	<i>noun</i><br><ol><li>lullaby</li></ol>
lulod|lulód	<i>noun</i><br><ol><li>(anatomy) shin</li><li>(anatomy) tibia; shinbone</li></ol>
lulog	<i>noun</i><br><ol><li>tinder; fire starter</li></ol>
lulon|lulón	<i>noun</i><br><ol><li>swallowing (of food, etc.)</li><li>(figuratively) engulfing; enveloping (by big waves)</li><li>roll (of paper, carpet, matting, etc.)</li><li>act of rolling (of paper, carpet, matting, etc.)</li></ol><br><i>adj</i><br><ol><li>rolled (of paper, carpet, matting, etc.)</li></ol>
lulong|lulóng	<i>adj</i><br><ol><li>deeply involved in (a dangerous or undesirable situation)</li><li>(by extension) addicted (to vices like drugs, alcohol, etc.)</li></ol><br><i>noun</i><br><ol><li>deep involvement (in a dangerous or undesirable situation)</li><li>going too near of a dangerous place</li></ol>
lulos	<i>noun</i><br><ol><li>passing through without delay or interruption</li><li>straight-growing tree without nodes</li></ol>
lulot|lulót	<i>adj</i><br><ol><li>withered; dried up (of flowers or leaves)</li><li>overripe</li></ol><br><i>noun</i><br><ol><li>condition of being withered or dried up (of flowers or leaves)</li><li>withering; drying up (of flowers or leaves)</li></ol>
luma|lumà|lumá	<i>adj</i><br><ol><li>old (of objects)</li><li>worn; used; second-hand</li><li>out of date; old-fashioned; antiquated</li><li>remaining from the previous year (of harvested crops)</li><li>reduced in volume or quantity (by pounding, chewing, grinding, etc.)</li></ol>
lumabag|kakalabag|ipapagpalabag|ipinagpapalabag|pinapaglabagan|papaglabagan|pagpalabagan|makipagpalabag|pinagpapalalabagan|ipinalabag|ikakapagpalabag|papalabagin|labagin|kakapalabag|nagpapalabag|kapagpapalabag|ikinalabag|ipalalabag|ikinapagpapalabag|labag|lalabagin|palalabagin|pinalalabag|papagpalabagan|ikakalabag|nalabag|ikalabag|pinalabag|ipinalalabag|paglabagan|ilabag|ikapagpalabag|lalabag|ipinapanlabag|magpalabag|pinapapaglabagan|inilalabag|nilabag|ipalabag|papapaglabagan|ilalabag|⁠kapalalabag|ipinagpalabag|ikinakalabag|nagpalabag|ikapagpapalabag|ipagpalabag|makilabag|pinaglabagan|paglalabagan|ikinalalabag|nakipagpalabag|ipagpapalabag|makikipagpalabag|ikalalabag|pinapalabag|ikinapagpalabag|pinagpalabagan|nilalabag|pinaglalabagan|magpapalabag|ipinanlabag|nakikipagpalabag|palabagin|pagpapalalabagan|inalabag|inilabag|makikilabag|nakikilabag|nakilabag|pinapagpalabagan|ipinapalabag|lumalabag|kalalabag|ipapalabag|lumabág|ipinapagpalabag|ipanlabag|ipapanlabag|kapapalabag|alabagin|ikinakapagpalabag|malabag	<i>verb</i><br><ol><li>to violate; to disobey (a rule, ordinance, law, etc.)</li><li>to break; to fail to follow (one's promise, agreement, etc)</li><li>complete aspect of lumabag</li></ol>
lumaban|lalabanan|palalabanin|alabanan|pinalabanan|pinapapaglabanan|ilaban|papaglabanan|kapagpapalaban|nakilaban|nilalabanan|inilalaban|pinapalaban|magpapalaban|lalaban|inilaban|ikapagpalaban|paglabanan|ikinalalaban|malaban|ipapagpalaban|labanan|ipagpalaban|palalabanan|pinaglabanan|magpalaban|ilalaban|⁠kapalalaban|pinalalabanan|ipapanlaban|ipinapagpalaban|makipagpalaban|kakalaban|ipinagpapalaban|kapapalaban|ikapagpapalaban|ikinapagpapalaban|nagpalaban|kalalaban|makikilaban|nakikipagpalaban|pinalalaban|pinagpapalalabanan|palabanin|ikalalaban|ipinagpalaban|ikinalaban|nalaban|ikinakalaban|pinapalabanan|pinapagpalabanan|ikinapagpalaban|pinagpalabanan|pinalaban|nagpapalaban|laban|inalabanan|ikinakapagpalaban|nakipagpalaban|papapaglabanan|makikipagpalaban|nilabanan|ikalaban|ipinanlaban|kakapalaban|papagpalabanan|ikakapagpalaban|pinaglalabanan|papalabanan|makilaban|lumalaban|ikakalaban|pinapaglabanan|ipagpapalaban|pagpapalalabanan|ipanlaban|paglalabanan|palabanan|papalabanin|nakikilaban|pagpalabanan|ipinapanlaban	<i>verb</i><br><ol><li>to fight</li><li>to oppose; to go against</li><li>complete aspect of lumaban</li></ol>
lumabas|lumalabas|kalalabas|labas|lumabás|actor|lalabas|kakalabas	<i>verb</i><br><ol><li>to leave; to exit; to go out</li><li>to appear</li><li>to show up (from hiding)</li><li>to result in; to come out as a result</li><li>to play the role of (in a play, movie, etc.)</li><li>to be published (of a book, article, etc.)</li><li>to emerge victorious; to win (of an election)</li><li>complete aspect of lumaban</li></ol>
lumabo|lumabo|lumabó|kalalabo|actor|kakalabo|labo|lalabo|lumabò|lumalabo	<i>verb</i><br><ol><li>to fade; to become dim (of light)</li><li>to become turbid or unclear (of water or liquid)</li><li>to become blurred (of one's vision)</li><li>to become unintelligible; to become less distinct</li><li>to become confusing</li><li>complete aspect of lumabo</li><li>to become spongy or loose (of soil)</li></ol>
lumakad|lakad|lalakad|kakalakad|kalalakad|actor|lumalakad	<i>verb</i><br><ol><li>to walk</li><li>to depart; to leave</li><li>to run (of an engine, motor, etc.)</li><li>to pass; to go by (of time)</li><li>complete aspect of lumakad</li></ol>
lumakas|kakalakas|lumalakas|kalalakas|lakas|lalakas|actor|lumakás	<i>verb</i><br><ol><li>to become strong; to become vigorous</li><li>to become loud (of sound, music, voice, etc.)</li><li>to intensify</li><li>to become more influential or powerful</li><li>to recover from sickness; to recuperate</li><li>to become better in sales (of products)</li><li>complete aspect of lumakas</li></ol>
lumakdang|lalakdang|kalalakdang|lakdang|lumalakdang|actor|lumakdáng|kakalakdang	<i>verb</i><br><ol><li>to take a long stride</li><li>complete aspect of lumakdang</li></ol>
lumaki|lalakí|kakalaki|lalaki|laki|ᜎᜓᜋᜃᜒ|actor|kalalaki|lumalaki|ᜎᜎᜃᜒ|lumakí	<i>verb</i><br><ol><li>to become bigger; to increase in size</li><li>to increase in quantity or number</li><li>to grow; to grow up</li><li>to expand; to become wide</li><li>to prosper; to become prosperous</li><li>complete aspect of lumaki</li></ol>
lumalaban	<i>verb</i><br><ol><li>progressive aspect of lumaban</li></ol>
lumambitin|lumalambitin|kalalambitin|lambitin|lalambitin|actor|kakalambitin	<i>verb</i><br><ol><li>to hang with one's hands or feet (on branches, bars, etc.)</li><li>to cling or hold fast (especially of a child on someone's neck)</li><li>complete aspect of lumambitin</li></ol>
lumamig|lumamíg|kakalamig|actor|kalalamig|lumalamig|lamig|lalamig	<i>verb</i><br><ol><li>to become cold</li><li>(figuratively) to calm down; to become calm</li><li>(figuratively) to lose interest or enthusiasm</li><li>complete aspect of lumamig</li></ol>
lumanay	<i>noun</i><br><ol><li>mildness; gentleness (in voice or speech)</li><li>moderation (in movement or action)</li><li>Homonoia riparia (a mangrove species)</li></ol>
lumang tugtugin	<i>noun</i><br><ol><li>(idiomatic) something that is no longer new or that is often heard</li></ol>
lumangoy|kapapalangoy|pinapagpalanguyan|ipinagpalangoy|nakikilangoy|makipagpalangoy|lalanguyin|inalangoy|palanguyan|alanguyan|nagpapalangoy|ikinakapagpalangoy|ilalangoy|langoy|papagpalanguyan|magpalangoy|nilalanguyan|pinapalanguyan|palalanguyin|ikakalangoy|kakapalangoy|ikakapagpalangoy|ikinalangoy|inilangoy|nagpalangoy|nakipagpalangoy|pinagpapalalanguyan|nilalangoy|ipapalangoy|ilangoy|kakalangoy|ipanlangoy|ipapanlangoy|ikinalalangoy|pinalalanguyan|nakilangoy|ipinalalangoy|paglalanguyan|ipagpapalangoy|makikipagpalangoy|languyin|lalangoy|makilangoy|ikapagpalangoy|nakikipagpalangoy|ipagpalangoy|ipinapagpalangoy|inalanguyan|kapagpapalangoy|ipinapalangoy|ikinapagpalangoy|makikilangoy|inilalangoy|pinapaglanguyan|pinaglalanguyan|nalangoy|ikinapagpapalangoy|pagpapalalanguyan|ikapagpapalangoy|ipinalangoy|ipinagpapalangoy|lalanguyan|ikalalangoy|papapaglanguyan|pinapalangoy|ikalangoy|lumalangoy|pinalangoy|magpapalangoy|kalalangoy|papalanguyan|paglanguyan|ipalangoy|pagpalanguyan|pinaglanguyan|ikinakalangoy|ipinanlangoy|pinagpalanguyan|nilanguyan|palalanguyan|pinapapaglanguyan|languyan|papaglanguyan|ipinapanlangoy|pinalalangoy|palanguyin|malangoy|ipalalangoy|nilangoy|lumangóy|pinalanguyan|papalanguyin|alanguyin|ipapagpalangoy|⁠kapalalangoy	<i>verb</i><br><ol><li>to swim</li><li>complete aspect of lumangoy</li></ol>
lumapastangan|lalapastangan|kalalapastangan|lumalapastangan|actor|lapastangan|kakalapastangan	<i>verb</i><br><ol><li>to act irreverently to; to show disrespect for</li><li>to insult; to offend with abusive language</li><li>complete aspect of lumapastangan</li></ol>
lumapirot|kakalapirot|lumapirót|actor|lapirot|kalalapirot	<i>verb</i><br><ol><li>to crumple; to squash; to muss (with the tip of one's fingers)</li><li>complete aspect of lumapirot</li></ol>
lumapit|lalapit|lumalapit|lapit|kakalapit|actor|kalalapit	<i>verb</i><br><ol><li>to come closer; to approach; to come near</li><li>to become near</li><li>(figuratively) to approach for help</li><li>complete aspect of lumapit</li></ol>
lumay	<i>noun</i><br><ol><li>moderation or gentleness (in speech or action)</li><li>(grammar) penultimate syllabic stress (without a glottal ending)</li><li>(dialectal) usage of a love charm or potion</li></ol>
lumaya|lumayà|actor|lalaya|lumalaya|kakalaya|kalalaya|laya	<i>verb</i><br><ol><li>to become free (from constraints, etc.)</li><li>to become independent (from foreign control)</li><li>to be free from confinement or prison</li><li>complete aspect of lumaya</li></ol>
lumayas|kalalayas|layas|kakalayas|actor|lumalayas|lalayas	<i>verb</i><br><ol><li>to run away; to escape</li><li>to elope (with a lover)</li><li>complete aspect of lumayas</li></ol>
lumayas ka	<i>intj</i><br><ol><li>go away</li></ol>
lumayo|lumayò|lumayô|kakalayo|actor|lalayo|kalalayo|layo|lumalayo|lumayo	<i>verb</i><br><ol><li>to go away; to go farther away</li><li>to go to a far, distant place</li><li>to keep away from; to avoid</li><li>complete aspect of lumayo</li><li>to become far or distant</li></ol>
