ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܛܥܡ|ܛܲܥܡܵܐ|ܛܵܥܡܝܼ|ܛܥܝܼܡܵܐ|ܛܘܼܥܸܡ ܠܘܼܟ݂|ܛܘܼܥܸܡ ܠܵܗ̇|ܛܥܘܿܡܝ|ṭaʿmit|ܛܵܥܡܵܢ|ṭaʿmaḥ|ܛܘܼܥܸܡ ܠܗܘܿܢ|ṭāʿmā|ṭaʿmīton|ṭāʿmēn|ṭʿīm lhon|ṭāʿmāt|ܛܘܼܥܸܡ ܠܹܗ|ܛܲܥܸܡ|ܛܥܝܼܡ ܠܲܢ|ṭāʿēm|ܛܲܥܡܝܼ|ܛܘܼܥܡܵܐ|ṭaʿmān|ṭuʿim luḵ|ܛܘܼܥܸܡ ܠܝܼ|ṭuʿim lhon|ṭaʿmī|ܛܥܝܼܡ ܠܵܘܟ݂ܘܿܢ|ṭuʿim lāḵ|ܛܲܥܡܵܢ|ܛܲܥܡܸܢ|ܛܲܥܡܲܚ|ṭaʿmāt|ṭuʿim lāwḵon|ܛܥܘܿܡ|ܛܥܘܿܡܘܼܢ|ṭʿīm lī|ܛܲܥܡܸܬ|ܛܲܥܡܵܬܝ|ṭaʿim|ṭʿīm lāh|ܛܥܝܼܡ ܠܹܗ|ṭʿīm luḵ|ܛܘܼܥܸܡ ܠܲܢ|ܛܲܥܡܘܼܢ|ܛܘܼܥܸܡ ܠܵܘܟ݂ܘܿܢ|ܛܥܝܼܡ ܠܵܗ̇|ܛܥܝܼܡ ܠܗܘܿܢ|ܛܵܥܹܡ|ܛܲܥܡܝܼܬܘܿܢ|ṭʿīm lan|ṭʿīm lāwḵon|ܛܥܵܡܵܐ|ṭāʿmī|ܛܵܥܡܲܚ|ܛܵܥܡܹܬ|ܛܲܥܸܡܝ|ṭuʿim lan|ṭaʿmun|ṭāʿmīton|ṭāʿmaḥ|ṭʿom|ܛܥܝܼܡ ܠܘܼܟ݂|ṭʿomun|ṭāʿmān|ܛܲܥܘܼܡܹܐ|ṭaʿmā|ṭʿīm lāḵ|ܛܵܥܡܝܼܬܘܿܢ|ܛܘܼܥܸܡ ܠܵܟ݂ܝ|ṭuʿim lī|ܛܥܝܼܡ ܠܝܼ|ṭʿīm lēh|ṭaʿmin|ܛܵܥܡܵܬܝ|ܛܵܥܡܹܢ|ܛܵܥܡܵܐ|ܛܥܝܼܡ ܠܵܟ݂ܝ|ṭuʿim lēh|ṭuʿim lāh|ṭāʿmēt	<i>verb</i><br><ol><li>(transitive) to taste</li><li>to vaccinate, inoculate</li></ol>
ܛܥܢ|ṭuʿinuḵ|ܛܲܥܸܢܝ|ܛܥܘܿܢ|ṭāʿēn|ṭʿīnuḵ|ṭuʿinnāh|ṭuʿinī|ܛܥܘܿܢܘܼܢ|ṭʿīnī|ṭaʿnā|ܛܥܝܼܢܵܗ̇|ṭaʿnaḥ|ܛܲܥܢܝܼܬܘܿܢ|ܛܘܼܥܸܢܵܟ݂ܝ|ṭuʿinnāḵ|ṭāʿnēt|ܛܵܥܢܵܐ|ܛܵܥܢܝܼ|ܛܲܥܘܼܢܹܐ|ܛܘܼܥܸܢܗܘܿܢ|ܛܲܥܢܵܬܝ|ܛܲܥܸܢ|ܛܘܼܥܢܵܐ|ṭāʿnī|ܛܲܥܢܵܢ|ṭaʿnin|ܛܥܝܼܢܵܘܟ݂ܘܿܢ|ṭʿīnāwḵon|ܛܲܥܢܘܼܢ|ܛܥܝܼܢܵܐ|ܛܵܥܹܢ|ṭaʿin|ṭāʿnaḥ|ܛܲܥܢܸܬ|ṭaʿnun|ṭāʿnēn|ܛܘܼܥܸܢܹܗ|ܛܥܝܼܢܹܗ|ṭaʿnāt|ܛܵܥܢܹܢ|ܛܘܼܥܸܢܵܗ̇|ܛܥܝܼܢܵܟ݂ܝ|ṭʿīnan|ܛܥܵܢܵܐ|ṭʿīnēh|ṭuʿinnēh|ṭāʿnān|ṭʿon|ܛܲܥܢܲܚ|ܛܵܥܢܲܚ|ܛܵܥܢܹܬ|ܛܲܥܢܝܼ|ܛܘܼܥܸܢܲܢ|ܛܥܝܼܢܘܼܟ݂|ṭaʿnān|ܛܥܝܼܢܗܘܿܢ|ṭāʿnīton|ṭāʿnāt|ܛܘܼܥܸܢܘܼܟ݂|ܛܥܘܿܢܝ|ṭʿīnāh|ܛܥܝܼܢܲܢ|ܛܘܼܥܸܢܝܼ|ܛܥܝܼܢܝܼ|ܛܵܥܢܵܬ|ṭaʿnit|ܛܘܼܥܸܢܵܘܟ݂ܘܿܢ|ṭāʿnā|ܛܲܥܢܵܐ|ṭʿīnāḵ|ṭaʿnī|ܛܵܥܢܵܢ|ṭuʿinnan|ṭʿonun|ṭʿīnhon|ṭuʿinhon|ܛܵܥܢܝܼܬܘܿܢ|ṭuʿinnāwḵon|ṭaʿnīton|ܛܲܥܢܸܢ	<i>verb</i><br><ol><li>to bear, carry, burden, port</li><li>to fruit, produce fruit</li></ol>
ܛܥܦ|ܛܵܥܦܵܐ|ṭʿopun|ܛܥܝܼܦ ܠܝܼ|ܛܥܝܼܦ ܠܵܘܟ݂ܘܿܢ|ṭāʿēp|ṭāʿpāt|ܛܥܝܼܦ ܠܘܼܟ݂|ṭāʿpaḥ|ܛܵܥܦܵܬܝ|ܛܥܘܿܦܘܼܢ|ṭāʿpī|ܛܥܝܼܦܵܐ|ṭāʿpēn|ܛܵܥܸܦ|ṭāʿpā|ṭāʿpān|ܛܵܥܦܹܬ|ܛܥܘܿܦ|ܛܵܥܦܝܼ|ܛܵܥܦܹܢ|ṭʿop|ܛܥܝܼܦ ܠܲܢ|ܛܥܘܿܦܝ|ܛܥܝܼܦ ܠܵܟ݂ܝ|ṭʿīp lāh|ṭʿīp lhon|ṭāʿpēt|ṭʿīp lēh|ṭʿīp luḵ|ܛܵܥܦܝܼܬܘܿܢ|ṭāʿpīton|ṭʿīp lāwḵon|ܛܥܵܦܵܐ|ܛܥܝܼܦ ܠܵܗ̇|ṭʿīp lan|ܛܵܥܦܲܚ|ṭʿīp lāḵ|ܛܥܝܼܦ ܠܹܗ|ṭʿīp lī|ܛܵܥܦܵܢ|ܛܥܝܼܦ ܠܗܘܿܢ|ṭāʿip|ܛܵܥܹܦ	<i>verb</i><br><ol><li>(transitive) to fold (clothes, paper, etc.)</li></ol>
ܛܦܐ|ܛܦܹܐ ܠܘܼܟ݂|ܛܵܦܝܵܬܝ|ܛܲܦܹܝܬ|ṭāpyāt|ṭpēmun|ܛܦܹܐ ܠܲܢ|ܛܦܝܼ|ṭappēn|ṭpē lan|ܛܲܦܝܼܵܐ|ṭapīyā|ܛܦܹܐ ܠܗܘܿܢ|ܛܲܦܹܝܬܘܢ|ṭapīyāt|ܛܦܹܐ|ܛܘܼܦܹܐ ܠܹܗ|ṭupē luḵ|ܛܵܦܹܐ|ܛܦܹܐ ܠܝܼ|ṭāpēton|ܛܵܦܹܝܬ|ṭappēmun|ṭupē lāwḵon|ṭapē|ṭupē lan|ṭappaḥ|ṭupē lāḵ|ܛܘܼܦܹܐ ܠܘܼܟ݂|ܛܲܦܹܝܡܘܼܢ|ṭapīyān|ṭupē lēh|ṭappētwn|ܛܵܦܹܝܬܘܿܢ|ṭāpē|ṭappēt|ṭpē luḵ|ܛܵܦܝܵܢ|ܛܘܼܦܹܐ ܠܗܘܿܢ|ṭupē lī|ṭāpyā|ṭpī|ܛܘܼܦܹܐ ܠܝܼ|ܛܦܵܝܵܐ|ܛܘܼܦܹܐ ܠܲܢ|ܛܲܦܝܼܵܢ|ṭpē lēh|ṭpē lāḵ|ܛܲܦܝܼ|ܛܲܦܹܐ|ܛܲܦܝܼܵܬܝ|ṭpē lāwḵon|ṭupē lhon|ܛܘܼܦܹܐ ܠܵܗ̇|ṭāpyān|ܛܘܼܦܝܼܵܐ|ܛܲܦܘܼܝܹܐ|ṭappē|ܛܘܼܦܹܐ ܠܵܘܟ݂ܘܿܢ|ܛܵܦܝܵܐ|ܛܸܦܝܵܐ|ܛܵܦܲܚ|ܛܲܦܹܝܢ|ܛܦܹܐ ܠܵܟ݂ܝ|ܛܦܹܝܡܘܼܢ|ܛܦܹܐ ܠܹܗ|ṭpē|ṭpē lī|ṭāpēn|ṭpē lhon|ܛܘܼܦܹܐ ܠܵܟ݂ܝ|ṭupē lāh|ܛܦܹܐ ܠܵܗ̇|ܛܦܹܐ ܠܵܘܟ݂ܘܿܢ|ܛܲܦܲܚ|ṭāpī|ṭpē lāh|ܛܵܦܹܝܢ|ṭapī|ṭāpēt|ܛܵܦܝܼ|ṭāpaḥ	<i>verb</i><br><ol><li>(intransitive) to be kindled; to be ignited</li><li>(transitive) to kindle; to light up (a fire, cigarette, etc.)</li><li>to turn on (a light, machine, etc.)</li></ol>
ܛܪܐ|ܛܪܹܐ|ܛܵܪܹܐ|ṭrē|ṭārī|ܛܪܹܐ ܠܵܘܟ݂ܘܿܢ|ܛܵܪܝܼ|ṭrē lan|ṭrē lāwḵon|ܛܵܪܹܝܢ|ܛܪܹܐ ܠܹܗ|ܛܪܹܐ ܠܲܢ|ܛܵܪܹܝܬ|ܛܪܹܐ ܠܵܟ݂ܝ|ܛܵܪܲܚ|ܛܪܹܐ ܠܝܼ|ܛܪܝܼ|ṭāryān|ܛܪܹܐ ܠܗܘܿܢ|ṭāraḥ|ܛܪܹܝܡܘܼܢ|ܛܵܪܝܵܐ|ܛܪܹܐ ܠܵܗ̇|ṭrē lēh|ṭrē lī|ܛܸܪܝܵܐ|ṭrē lāh|ṭāryā|ܛܵܪܹܝܬܘܿܢ|ṭrī|ṭrēmun|ܛܪܹܐ ܠܘܼܟ݂|ܛܪܵܝܵܐ|ṭārēton|ṭārēn|ṭārē|ṭrē lhon|ṭrē lāḵ|ṭāryāt|ṭārēt|ܛܵܪܝܵܢ|ṭrē luḵ|ܛܵܪܝܵܬܝ	<i>verb</i><br><ol><li>to drive, steer</li><li>to sail</li></ol>
ܛܪܣ|ṭārsā|ܛܪܝܼܣ ܠܲܢ|ṭārsēt|ܛܵܪܣܵܬܝ|ܛܪܝܼܣ ܠܝܼ|ܛܪܝܼܣܵܐ|ṭrīs luḵ|ṭrīs lāḵ|ܛܵܪܣܹܬ|ܛܵܪܣܵܢ|ṭrīs lāwḵon|ṭrīs lāh|ṭārēs|ܛܪܝܼܣ ܠܵܟ݂ܝ|ܛܵܪܣܹܢ|ܛܵܪܣܵܐ|ܛܪܝܼܣ ܠܹܗ|ṭrīs lēh|ܛܪܝܼܣ ܠܗܘܿܢ|ܛܵܪܣܝܼ|ܛܪܝܼܣ ܠܵܘܟ݂ܘܿܢ|ṭārsān|ṭrīs lhon|ܛܵܪܹܣ|ṭrīs lan|ܛܵܪܣܲܚ|ṭares|ṭrosun|ܛܪܝܼܣ ܠܘܼܟ݂|ܛܪܵܣܵܐ|ܛܪܘܿܣ|ṭros|ṭārsīton|ܛܪܘܿܣܝ|ṭārsaḥ|ܛܪܝܼܣ ܠܵܗ̇|ṭrīs lī|ṭārsēn|ܛܪܘܿܣܘܼܢ|ṭārsī|ܛܵܪܣܝܼܬܘܿܢ|ṭārsāt	<i>verb</i><br><ol><li>to fatten</li></ol>
ܛܪܦܐ|ܛܲܪܦܹܗ|ṭarpāḵ|ܛܲܪ̈ܦܘܿܗ̇|ܛܲܪܦܵܐ|ṭarpāwḵon|ṭarpā|ṭarpoh|ṭarphon|ܛܲܪܦ|ṭarpwh|ܛܲܪܦܲܢ|ṭarpē|ܛܲܪ̈ܦܝܼ|ṭarpan|ܛܲܪ̈ܦܵܟ݂ܝ|ṭarpay|ܛܲܪܦܵܟ݂ܝ|ṭarpī|ܛܲܪܦܗܘܿܢ|ܛܲܪܦܘܿܗ̇|ܛܲܪ̈ܦܲܝ|ṭarpēh|ܛܲܪܦܵܘܟ݂ܘܿܢ|ܛܲܪ̈ܦܘܼܟ݂|ṭarp|ܛܲܪ̈ܦܵܘܟ݂ܘܿܢ|ṭarpuḵ|ܛܲܪܦܘܼܟ݂|ܛܲܪ̈ܦܘܗܝ|ܛܲܪ̈ܦܗܘܿܢ|ܛܲܪ̈ܦܹܐ|ܛܲܪ̈ܦܲܢ	<i>noun</i><br><ol><li>leaf (of a plant)</li><li>page (of a book)</li><li>(anatomy) lobe (e.g. of the ear, liver, lung, etc.); cartilage of the nose</li><li>bran</li></ol>
ܛܫܐ|ṭašē|ܛܘܼܫܝܵܐ|ܛܫܹܐ ܠܘܼܟ݂|ṭāšyān|ܛܫܵܝܵܐ|ܛܘܼܫܹܐ ܠܲܢ|ܛܫܹܐ ܠܵܘܟ݂ܘܿܢ|ṭšē lēh|ṭšē|ܛܫܹܐ ܠܵܗ̇|ṭšē lhon|ܛܲܫܲܚ|ܛܲܫܝܼܵܬܝ|ṭāšī|ܛܵܫܝܵܬܝ|ܛܲܫܝܼܵܢ|ṭāšēn|ܛܘܼܫܹܐ ܠܵܘܟ݂ܘܿܢ|ܛܘܼܫܹܐ ܠܝܼ|ܛܘܼܫܹܐ ܠܵܟ݂ܝ|ṭšēmun|ܛܵܫܲܚ|ṭašīyāt|ṭušē lāwḵon|ṭšī|ṭušē luḵ|ܛܫܹܐ ܠܲܢ|ܛܘܼܫܹܐ ܠܹܗ|ܛܵܫܝܵܐ|ܛܫܝܼ|ṭāšē|ܛܫܹܝܡܘܼܢ|ܛܲܫܹܝܡܘܼܢ|ṭšē luḵ|ṭāšyāt|ܛܫܹܐ|ܛܵܫܹܝܢ|ܛܫܹܐ ܠܵܟ݂ܝ|ṭšē lāh|ܛܲܫܝܼ|ṭušē lāḵ|ܛܫܹܐ ܠܝܼ|ṭašīyā|ṭāšyā|ܛܘܼܫܹܐ ܠܗܘܿܢ|ܛܲܫܹܝܬ|ܛܲܫܝܼܵܐ|ܛܫܹܐ ܠܹܗ|ṭāšēt|ṭašī|ṭušē lēh|ܛܲܫܹܝܬܘܢ|ܛܵܫܝܼ|ṭaššēn|ṭušē lan|ܛܲܫܹܐ|ṭašīyān|ṭšē lāwḵon|ܛܲܫܘܼܝܹܐ|ܛܘܼܫܹܐ ܠܘܼܟ݂|ܛܵܫܹܐ|ṭaššētwn|ṭaššēmun|ܛܲܫܹܝܢ|ṭaššēt|ܛܵܫܝܵܢ|ܛܸܫܝܵܐ|ṭšē lāḵ|ṭšē lī|ܛܵܫܹܝܬܘܿܢ|ṭāšaḥ|ṭušē lhon|ṭaššaḥ|ṭšē lan|ܛܵܫܹܝܬ|ṭušē lāh|ܛܘܼܫܹܐ ܠܵܗ̇|ṭaššē|ܛܫܹܐ ܠܗܘܿܢ|ṭāšēton|ṭušē lī	<i>verb</i><br><ol><li>(intransitive) to hide, be hidden (put oneself in a place where one will be harder to find)</li><li>(transitive) to hide (put in a place where it will be harder to discover)</li></ol>
ܛܫܗܝܐ|ܛܫܸܗܝܹ̈ܐ|ṭšihyā|ܛܫܸܗܝܵܐ|ܛܫܗܝܼܬ݂ܵܐ	<i>adj</i><br><ol><li>hidden, hiding</li></ol>
ܝ ܕ ܐ|y-d-ʾ	<i>root</i><br><ol><li>forming words pertaining to confessing</li></ol>
ܝ ܠ ܦ|y-l-p	<i>root</i><br><ol><li>forming words pertaining to learning, teaching</li></ol>
ܝܐܠܗ|ܝܲܐܠܵܗ|yallāh	<i>intj</i><br><ol><li>(colloquial) come on, c’mon, let's go, hurry up</li><li>(colloquial) let's, let's go</li><li>(colloquial) bye-bye, bye</li></ol>
ܝܕܥ|yādʿīton|ܝܕܝܼܥ ܠܵܗ̇|dīʿ lī|dīʿ lēh|dīʿ lāwḵon|dīʿ lāḵ|ܝܵܕܥܝܼܬܘܿܢ|ܝܕܥܹܐ|dʿī|ܝܵܕܹܥ|ܝܕܵܥܵܐ|ܝܵܕܥܵܐ|ܝܕܝܼܥ ܠܹܗ|ܝܕܝܼܥ ܠܲܢ|ܝܕܝܼܥ ܠܘܼܟ݂|ܝܕܝܼܥ ܠܵܘܟ݂ܘܿܢ|ܝܵܕܥܝܼ|yādēʿ|ܝܕܥܵܢ|ܝܕܥܝܼ|yādʿaḥ|yādʿēt|dēʿmun|ܝܕܝܼܥ ܠܝܼ|ܝܵܕܥܹܬ|dīʿ lhon|ܝܵܕܥܹܢ|yādʿā|ܝܕܝܼܥ ܠܵܟ݂ܝ|dʿē|dʿān|ܝܵܕܥܵܬܝ|dīʿ lāh|ܝܕܹܥܡܘܼܢ|ܝܕܝܼܥ ܠܗܘܿܢ|yādʿēn|ܝܵܕܥܲܚ|yādʿāt|yādʿī|ܝܕܝܼܥܵܐ|dīʿ lan|dīʿ luḵ	<i>verb</i><br><ol><li>To know (a fact).</li><li>To know (a person or place).</li><li>To know how (to do something).</li><li>(literary, archaic) To know, to have sex with.</li></ol>
ܝܗܒܠ|ܝܘܼܗ݇ܒ݂ܹܠ ܠܹܗ|ܝܘܼܗ݇ܒ݂ܹܠ ܠܲܢ|yuḇēl lī|ܝܘܼܗ݇ܒ݂ܹܠ ܠܵܗ̇|yāḇā|yuḇēl lāwḵon|yāḇān|hal|ܝܵܗ݇ܒ݂ܵܬ|yāḇāt|yuḇēl lāḵ|ܗܲܒ݂݇ܠܝ|ܝܘܼܗ݇ܒ݂ܹܠ ܠܘܼܟ݂|ܝܘܼܗ݇ܒ݂ܹܠ ܠܵܟ݂ܝ|ܝܘܼܗ݇ܒ݂ܹܠ ܠܗܘܿܢ|yāḇīton|ܝܵܗ݇ܒ݂ܵܢ|yāḇēt|ܝܵܗ݇ܒ݂ܝܼ|ܗܲܒ݂݇ܠ|ܝܵܗ݇ܒ݂ܲܚ|yāḇaḥ|halun|yuḇēl lhon|yāḇī|yāḇēn|yāḇēl|yuḇēl lēh|ܝܘܼܗ݇ܒ݂ܹܠ ܠܵܘܟ݂ܘܿܢ|yuḇēl lāh|ܝܘܼܗ݇ܒ݂ܵܐ|ܝܘܼܗ݇ܒ݂ܹܠ ܠܝܼ|ܝܵܗ݇ܒ݂ܹܠ|ܗܲܒ݂݇ܠܘܼܢ|yuḇēl luḵ|ܝܵܗ݇ܒ݂ܹܢ|ܝܵܗ݇ܒ݂ܝܼܬܘܿܢ|ܝܵܗ݇ܒ݂ܹܬ|ܝܵܗ݇ܒ݂ܵܐ|yuḇēl lan	<i>verb</i><br><ol><li>to give</li></ol>
ܝܘܚܢܢ|ܝܘܿܚܲܢܵܢ|yoḵannān	<i>name</i><br><ol><li>(biblical) Any of the New Testament figures named John</li><li>(biblical) The Gospel of John: a book of the New Testament of the Bible. Traditionally the fourth of the four gospels.</li><li>(biblical) One of the books in the New Testament of the Bible, the epistles of John (1 John, 2 John and 3 John).</li></ol>
ܝܘܠܦܢ ܐܪܥܐ|yulpān arʿan|yulpān arʿāwḵon|ܝܘܼܠܦܵܢ ܐܲܪܥܘܼ̈ܟ݂|yulpān arʿay|yulpān arʿāḵ|yulpān arʿē|yulpān arʿēh|yulpān arʿā|ܝܘܼܠܦܵܢ ܐܲܪܥܵܘ̈ܟ݂ܘܿܢ|ܝܘܼܠܦܵܢ ܐܲܪܥܲܝ̈|ܝܘܼܠܦܵܢ ܐܲܪܥܲܢ̈|ܝܘܼܠܦܵܢ ܐܲܪܥܹ̈ܗ|ܝܘܼܠܦܵܢ ܐܲܪܥܹ̈ܐ|yulpān arʿoh|yulpān arʿuḵ|yulpān arʿhon|ܝܘܼܠܦܵܢ ܐܲܪܥ̈ܘܿܗ̇|ܝܘܼܠܦܵܢ ܐܲܪܥܵܐ|ܝܘܼܠܦܵܢ ܐܲܪܥܵܟ݂ܝ̈|ܝܘܼܠܦܵܢ ܐܲܪܥܝܼ̈|ܝܘܼܠܦܵܢ ܐܲܪܥܗ̈ܘܿܢ	<i>noun</i><br><ol><li>(uncountable) geology (the study of the earth)</li></ol>
ܝܘܠܦܢ ܚܝܘܬܐ|yulpān ḥayutan|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܝܼ̈|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬ̈ܘܿܗ̇|yulpān ḥayutoh|yulpan ḳāyuta|yulpān ḥayutay|yulpān ḥayutuḵ|yulpān ḥayutēh|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܵܟ݂ܝ̈|yulpān ḥayutāwḵon|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܲܢ̈|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܹ̈ܗ|yulpān ḥayuthon|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܘܼ̈ܟ݂|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܗ̈ܘܿܢ|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܲܝ̈|yulpān ḥayutāḵ|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܹ̈ܐ|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܵܘ̈ܟ݂ܘܿܢ|yulpān ḥayutē|ܝܘܼܠܦܵܢ ܚܲܝܘܼܬܵܐ	<i>noun</i><br><ol><li>biology: The study of all life or living matter.</li></ol>
ܝܘܡܐ|ܝܵܘܡܲܢ|yāwmī|yāwmānhon|ܝܵܘ̈ܡܲܢ|ܝܵܘܡܵܢܹ̈ܐ|ܝܵܘܡܝܼ|yāwm|ܝܵܘܡܘܼܟ݂|ܝܵܘܡܵܟ݂ܝ|ܝܵܘܡ|ܝܵܘܡܵܢ̈ܝܼ|ܝܵܘܡܵܘܟ݂ܘܿܢ|ܝܵܘܡܵܢ̈ܘܿܗ̇|yāwman|yāwmhon|ܝܵܘܡܗܘܿܢ|ܝܵܘܡܘܿܗ̇|yāwmānuh|yāwmānī|ܝܵܘܡܵܢܘܼ̈ܟ݂|yāwmāwḵon|yāwmāḵ|ܝܵܘܡܵܐ|yāwmay|yāwmānuḵ|ܝܵܘܡܲܝ̈|yāwmānāḵ|yāwmuḵ|yāwmānāwḵon|ܝܵܘܡܵܢܘܼ̈ܗܝ|ܝܵܘܡܵܢܗ̈ܘܿܢ|ܝܵܘܡܹܗ|ܝܵܘܡܵܢܵܟ݂ܝ̈|yāwmānē|yāwmānoh|ܝܵܘܡܵܢܵܘ̈ܟ݂ܘܿܢ|yāwmēh|yāwmoh|yāwmā	<i>noun</i><br><ol><li>day</li><li>daytime</li></ol>
ܝܘܡܐ ܒܪܝܟܐ|ܝܵܘܡܵܐ ܒܪܝܼܟ݂ܵܐ|yāwmā brīḵā	<i>intj</i><br><ol><li>good day (a greeting generally used between sunrise and sunset)</li><li>have a nice day (a typical valediction when parting)</li></ol>
ܝܘܢ|yonoh|ܝܘܿܢܘܼܟ݂|yāwān|yon|ܝܘܿܢܗܘܿܢ|ܝܘܿܢܵܘܟ݂ܘܿܢ|ܝܘܿܢܝܼ̈|ܝܘܿܢܵܘ̈ܟ݂ܘܿܢ|yonē|yonay|ܝܘܿܢܵܟ݂ܝ̈|ܝܘܿܢܲܝ̈|yonan|ܝܘܿܢܘܼ̈ܟ݂|ܝܘܿܢܵܟ݂ܝ|ܝܘܿܢܘܼ̈ܗܝ|ܝܘܿܢܲܢ̈|ܝܘܿܢܝܼ|ܝܘܿܢܹܗ|ܝܘܿܢܹ̈ܐ|ܝܘܿܢ̈ܘܿܗ̇|ܝܘܿܢܲܢ|yonhon|ܝܘܿܢܗ̈ܘܿܢ|ܝܵܘܵܢ|ܝܘܿܢ|yonēh|ܝܘܿܢܘܿܗ̇|yonuḵ|yonāḵ|yonāwḵon|yonuh|yonī	<i>name</i><br><ol><li>Greece: A country in southeastern Europe, having borders with Albania, North Macedonia, Bulgaria, and Turkey. Official name: Hellenic Republic</li><li>(biblical) Javan, the fourth son of Japheth</li></ol><br><i>noun</i><br><ol><li>ion (an atom or group of atoms bearing an electrical charge, such as the sodium and chlorine atoms in a salt solution)</li></ol>
ܝܘܦܩܐ|yupquḵ|yupqhon|yupqē|ܝܘܼܦܩܵܟ݂ܝ̈|ܝܘܼܦܩ|ܝܘܼܦܩܘܿܗ̇|ܝܘܼܦܩܵܘ̈ܟ݂ܘܿܢ|yupq|ܝܘܼܦܩܹ̈ܐ|yupqā|ܝܘܼܦܩܗ̈ܘܿܢ|yupqa|yupqāwḵon|ܝܘܼܦܩܵܟ݂ܝ|ܝܘܼܦܩ̈ܘܿܗ̇|yupqī|ܝܘܼܦܩܲܢ̈|ܝܘܼܦܩܘܼ̈ܟ݂|yupqan|yupqay|ܝܘܼܦܩܗܘܿܢ|ܝܘܼܦܩܘܼܟ݂|ܝܘܼܦܩܵܘܟ݂ܘܿܢ|ܝܘܼܦܩܘܼ̈ܗܝ|yupqāḵ|ܝܘܼܦܩܲܢ|ܝܘܼܦܩܹܗ|ܝܘܼܦܩܲܝ̈|ܝܘܼܦܩܵܐ|ܝܘܼܦܩܝܼ̈|yupqoh|yupquh|yupqēh|ܝܘܼܦܩܝܼ	<i>noun</i><br><ol><li>skirt: An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body.</li></ol>
ܝܘܪܕܢܢ|ܝܘܼܪܕܢܵܢ|yurdnan	<i>name</i><br><ol><li>A river in the Middle East that empties into the Dead Sea.</li><li>A country in the Middle East. Official name: Hashemite Kingdom of Jordan; named after the river.</li></ol>
ܝܠܕ|līd lī|ܝܠܝܼܕ ܠܹܗ|ܝܵܠܕܝܼܬܘܿܢ|lod|yālpā|ܝܵܠܕܵܢ|yāldīton|ܝܵܠܕܵܬܝ|ܝܵܠܹܕ|līd lāh|yāldēn|yāldān|ܝܠܝܼܕ ܠܵܟ݂ܝ|līd lhon|līd lēh|ܝܠܝܼܕ ܠܝܼ|yālēd|līd lāḵ|ܝܠܝܼܕ ܠܵܘܟ݂ܘܿܢ|yāldā|lodun|ܝܠܘܿܕ|ܝܵܠܕܹܢ|ܝܠܝܼܕܵܐ|ܝܵܠܦܵܐ|ܝܠܝܼܕ ܠܗܘܿܢ|yāldēt|ܝܠܵܕܵܐ|ܝܠܝܼܕ ܠܲܢ|līd lāwḵon|līd lan|ܝܵܠܕܹܬ|līd luḵ|ܝܵܠܕܵܐ|ܝܵܠܕܝܼ|ܝܠܝܼܕ ܠܘܼܟ݂|yāldāt|ܝܠܘܿܕܘܼܢ|ܝܠܝܼܕ ܠܵܗ̇|yāldī|ܝܠܘܿܕܝ	<i>verb</i><br><ol><li>to birth; to give birth</li></ol>
