.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
etorri|nentorkizun|gatozkizuke|zentozkiekeen|gentozkeen|nentorkiake (m)|letorkidake|etorriren|hentorkien|gentozkiokeen|letorkioke|zentozke|etortzeei|etorriengatik|letozkieke|bagentozkik (m)|natorkizue|etorrirentzat|zetorkizukeen|zetozkizun|zetozkidakeen|zetozkiokeen|etorrietarako|gatozkieke|etorririk|etorriaz|etorritarako|zentozkiokete|zatozkiguke|zetozkien|zetozkion|zetorkion|etorritzat|gatoz|same as indicative past consequence|letozke|natorkizun|betozkit|etorritan|gatozkian (m)|bahentorkio|zentozkidakeen|hentorkigun|betoz|zentozkioke|zentozkeen|baletor|nentorkiekeen|bagentozkio|etortzerentzat|natorkian (m)|betor|etorriarekin|nentorkizueke|zetorkizun|etortzetaraino|zetorkidakeen|datorkie|zentozkien|etortzeetarantz|etorrietako|datorkiake (m)|datorkizueke|hentorkioke|gentozke|zetorkigun|bazentozkit|zetozkigukeen|etortzean|etortze|hatorkio|betozkigu|bazentozkigute|gatozkin (f)|zentozkiguten|hentorkidake|zatozkiote|datorkizue|betorkin (f)|hatorkit|zentozkieketen|natorkien|bagentozkizu|betozkik (m)|zetorkinan (f)|letorkizuke|etortzeengatik|zetorkiokeen|gatozkizue|zentozkion|betozkio|gentozkiake (m)|etorriri|datorkinake (f)|letozkinake (f)|etortzetzat|etorritik|nentorkion|same as indicative past|bagentozkin (f)|betozkizu|gatozkion|same as indicative future consequence|etortzetan|zentozkiokeen|bagentoz|gatozkizun|etortzearen|etorria|bazentozte|zatozkie|betozkie|zatozkiekete|zatozkete|etortzeetara|hentorkigukeen|etorriek|etorrik|natorkieke|baletorkie|zentozkidaketen|zatozkiete|etortzea|natorren|zentozkieten|zentozkiguketen|gentozen|zentozkioten|zatozkidate|zetozkinan (f)|gatozkizuen|gatozkik (m)|datorkiguke|gentozkioke|etortzeren|hentorkieke|nentorkinake (f)|zetorkiekeen|banentorkio|etortzearekin|datoz|baletozkio|gatozkizueke|etorrietara|banentorkizue|datozkio|etortzeaz|natorke|etorriraino|gatozke|bazentoz|etorrirako|zentozketen|gatozen|zetorkeen|gentozkien|etortzeek|datozkin (f)|datozkiguke|betorkie|hatorkieke|etortzerik|nentorkien|zentozkiekete|nentorkeen|banentorkie|etorritarantz|letorkinake (f)|zentozkidakete|etor|letozkizueke|etorrirekin|gatozkien|datorrela|etorrirengatik|natorkioke|natorkinake (f)|baletorkit|etortzearengatik|bazentozkigu|zetozkian (m)|etortzen|baletorkizue|baletozkizu|datorren|zatozten|zatozkioke|letorkiake (m)|datorke|zetozkidan|etortzetako|etorriarengatik|baletorkigu|hentorkiokeen|datorkieke|hatorkigu|bagentozkie|natorkion|baletozkigu|etorritatik|letozkizuke|datorkin (f)|datozkik (m)|datozkizueke|etorrirantz|datozkioke|etortzetatik|natorkin (f)|bahentor|etortzeetako|etorrietarantz|zentozkieke|bazentozkie|etortzeari|betozkizue|letorke|etortzearentzat|betorkit|dator|natorkizu|zatozkigute|nentorkizuen|datozkizu|letorkieke|banentorkin (f)|baletozkie|etortzerekin|nator|letozkioke|hentorke|zatozkigukete|baletozkit|gatozkio|datozkizuke|zatoz|datozkieke|zentozkete|etorriko|etortzeetarako|etorriaren|nentorkizuke|datozke|datorkit|bazentozkidate|zentozkidan|baletorkizu|zatozkidakete|zatozkigu|zentozkigukete|bazentozkiote|hatorren|zetorkizuen|gentozkiekeen|gentozkizueke|zentozten|zentozkigun|natorkizueke|hentorkiekeen|gentozkieke|etortzeekin|hatorkioke|hentorkidan|datorkizu|hatorkie|gentozkinan (f)|betozkin (f)|etortzerantz|zentozkioketen|zentozen|hentorkidakeen|zetorren|gatozkizu|baletorkin (f)|datorkigu|gentozkizuekeen|etortzetarako|etorrira|etortzeak|zentozkidake|etortzeetatik|baletorkik (m)|bagentozkizue|zatozte|zetozen|hentorkiguke|etorriez|etortzetik|etorriz|baletorkio|natorkiake (m)|datorkio|zetozkizuekeen|natorkizuen|zetozkizukeen|zetorkidan|hentorren|etorrietan|betorkigu|gatozkinan (f)|zentozkidaten|zetozkeen|letorkizueke|bahentorkigu|etortzeez|letorkiguke|etorritaraino|etortzerako|etorritako|nentorkizukeen|bahentorkit|etortzeri|datozkidake|betorkizue|datorkidake|nentorkizuekeen|gentozkinake (f)|nentorke|gatozkinake (f)|nentorkiokeen|betorkik (m)|etorriak|datozkit|baletoz|banentor|etortzetara|hatorke|gentozkizuen|etortzeetan|datozen|gatozkioke|natorkizuke|zetorkizuekeen|etortzeetaraino|gentozkian (m)|zetozkizuen|betorkizu|zatozkiokete|hatorkiguke|nentorkinan (f)|etorrietatik|zetorkigukeen|natorkio|etortzeen|etorriei|etorriari|nentorren|letozkidake|baletozkin (f)|letozkiguke|etortzetarantz|datozkigu|hator|nentorkian (m)|natorkinan (f)|banentorkik (m)|zatozkidake|datozkie|natorkik (m)|etorrientzat|banentorkizu|bazentozkiete|etortzera|gentozkizun|nentorkioke|etortzeentzat|gentozkizukeen|etortzerengatik|etorrian|zetozkiekeen|baletozkizue|etortzez|zatozkit|hentorkion|bazentozkio|zatozkieke|datozkizue|gatozkiake (m)|zatozke|hentorkeen|baletozkik (m)|etorriarentzat|zentozkigukeen|letozkiake (m)|natorkie|gentozkion|datorkizuke|zatozen|datorkioke|betorkio|zetozkigun|zentozkiguke|hatorkidake|datozkinake (f)|etortzeko|datorkik (m)|etorriekin|bahentorkie|gatozkie|etorrien|zetorkien|zetorkian (m)|etorrietaraino|etorritara|datozkiake (m)|gentozkizuke|zatozkio|etortzek|etortzeraino|nentorkieke	<i>verb</i><br><ol><li>to come</li></ol><br><i>noun</i><br><ol><li>eloquence</li><li>flow</li></ol>
etsai|etsaik|etsaiarenganantz|etsaiengana|etsaiarekin|etsaientzat|etsaiez|etsaienganaino|etsairentzat|etsaiaz|etsaiekin|etsaiengan|etsaiarenganaino|etsaiengandik|etsaia|etsairenganaino|etsaiak|etsaiarenganako|etsaienganako|etsaiengatik|etsairenganantz|etsaiari|etsaiarengandik|etsaiek|etsaiarengatik|etsairengandik|etsaiz|etsaiaren|etsaiarentzat|etsairengatik|etsaitzat|etsairi|etsaiarengana|etsaienganantz|etsairengan|etsairen|etsairenganako|etsaien|etsaiei|etsairengana|etsairik|etsaiarengan|etsairekin	<i>noun</i><br><ol><li>enemy, opponent, adversary</li><li>devil</li></ol>
etxe|etxearentzat|etxetatik|etxeak|etxeez|etxeentzat|etxeraino|etxeetarako|etxeekin|etxerik|etxeetako|etxeko|etxeri|etxetara|etxeetan|etxeari|etxetan|etxetako|etxetarako|etxeetaraino|etxetarantz|etxetik|etxeren|etxeen|etxetaraino|etxera|etxearekin|etxean|etxeei|etxerengatik|etxeek|etxetzat|etxerantz|etxerentzat|etxeetara|etxeaz|etxek|etxez|etxerako|etxea|etxearengatik|etxeetarantz|etxerekin|etse|etxeetatik|etxeengatik|etxearen	<i>noun</i><br><ol><li>house</li><li>home</li><li>building, place where an activity takes place (usually in compounds)</li><li>family, lineage</li></ol>
etxe-katu|etxe-katuaz|etxe-katuek|etxe-katuren|etxe-katuarenganaino|etxe-katurenganako|etxe-katurentzat|etxe-katurenganaino|etxe-katuri|etxe-katuentzat|etxe-katuenganako|etxe-katuarengana|etxe-katuei|etxe-katuz|etxe-katuaren|etxe-katurekin|etxe-katua|etxe-katuarenganantz|etxe-katuarengatik|etxe-katurenganantz|etxe-katutzat|etxe-katuenganaino|etxe-katuekin|etxe-katuarenganako|etxe-katuarengandik|etxe-katurengatik|etxe-katuenganantz|etxe-katuengatik|etxe-katuez|etxe-katurengana|etxe-katuarentzat|etxe-katuarekin|etxe-katuak|etxe-katuk|etxe-katuari|etxe-katuengan|etxe-katuengana|etxe-katurengandik|etxe-katurik|etxe-katuen|etxe-katurengan|etxe-katuarengan|etxe-katuengandik	<i>noun</i><br><ol><li>domestic cat</li></ol>
etxe-txakur|etxe-txakurrengan|etxe-txakurrentzat|etxe-txakurrei|etxe-txakurrengana|etxe-txakurrak|etxe-txakurrarengatik|etxe-txakurrarengana|etxe-txakurrekin|etxe-txakurren|etxe-txakurraren|etxe-txakurrarentzat|etxe-txakurrarenganaino|etxe-txakurrik|etxe-txakurrek|etxe-txakurra|etxe-txakurrenganantz|etxe-txakurrari|etxe-txakurrengandik|etxe-txakurrarengan|etxe-txakurrarenganantz|etxe-txakurrarenganako|etxe-txakurrarengandik|etxe-txakurtzat|etxe-txakurrenganaino|etxe-txakurri|etxe-txakurrenganako|etxe-txakurraz|etxe-txakurrarekin|etxe-txakurrengatik|etxe-txakurrez	<i>noun</i><br><ol><li>domestic dog</li></ol>
etxekoandre|etxekoandrerengana|etxekoandreak|etxekoandreez|etxekoandrearengana|etxekoandrez|etxekoandrearengatik|etxekoandrearekin|etxekoandreren|etxekoandrearenganaino|etxekoandrearengan|etxekoandreen|etxekoandreek|etxekoandreri|etxekoandreenganaino|etxekoandreari|etxekoandrek|etxekoandrearen|etxekoandreengatik|etxekoandrerenganaino|etxekoandreenganako|etxekoandreenganantz|etxekoandrearenganako|etxekoandrerenganantz|etxekoandreentzat|etxekoandreaz|etxekoandrerengandik|etxekoandrerentzat|etxekoandretzat|etxekoandrearentzat|etxekoandrerengan|etxekoandreei|etxekoandreengana|etxekoandrerekin|etxekoandrearenganantz|etxekoandreengan|etxekoandreengandik|etxekoandreekin|etxekoandrerengatik|etxekoandrerenganako|etxekoandrearengandik|etxekoandrea|etxekoandrerik	<i>noun</i><br><ol><li>housewife</li></ol>
etzan|zetzan|beutza|etzatetara|etzatearentzat|zautzate|etzatean|etzatetarantz|etzaten|zautza|etzatearengatik|etzateetarantz|letzake|nentzan|etzaterako|leutzake|nentzake|etzatez|etzatetik|etzateri|etzango|etzateekin|zeuntzan|natza|etzate|hentzake|etzaterik|etzateetarako|etzateengatik|etzaterantz|etzateek|etzatetaraino|etzateari|etzateei|etzateren|etzatearen|etzaterengatik|gautza|etzateentzat|zeuntzaten|etzaterentzat|etzatea|etzatetan|etzateen|dautza|etzateaz|geuntzan|geuntzake|etzateak|etzatetzat|datza|etzateraino|zeuntzake|etzatetatik|etzateko|zeutzan|etzateetan|betza|etzateetako|etzateetara|etzaterekin|etzateetatik|hatza|etzatek|etzatetarako|zeuntzakete|etzateez|etzatetako|etzatera|etzateetaraino|etzatearekin|hentzan	<i>verb</i><br><ol><li>to lie, lie down</li><li>to lay</li><li>to mean, be</li></ol>
etzi	<i>adv</i><br><ol><li>day after tomorrow</li></ol>
euli|eulirenganako|eulirengan|eulientzat|euliez|euliei|eulirenganaino|eulienganako|euliari|eulirentzat|euliarenganako|eulienganantz|eulirekin|euliarekin|eulien|euliengan|euliarengatik|eulik|euliarenganaino|eulienganaino|eulirik|euliren|euliarentzat|euliri|euliengana|euliak|euliaz|euliarengandik|eulirengandik|euliarengan|eulirengatik|euliengandik|eulirengana|euliarengana|euliengatik|euliz|euliaren|euliek|euliekin|eulirenganantz|eulia|euliarenganantz|eulitzat	<i>noun</i><br><ol><li>fly</li></ol>
eurak|bera|beretako|euronganako|eurei|bereganako|berorrenganat|beroriek|berainengandik|bertarik|eurekin|euronganantz|beraiegatik|berorietaraino|beregatik|euroi|bertarantz|berorretan|beroriekin|beretzat|berorrenganantz|beraietarako|berorien|berori|berorietarako|beraietarik|beroriei|eureganik|berorrek|beraietara|beraienganik|bertatik|beregana|beraienganat|eurak|berorrengandik|berak|berorretarako|beraietatik|berorretako|beroriengatik|berorietarantz|beraiengana|berorietarat|beroriezaz|bertaraino|berorietan|bertan|berorretara|berorregatik|beraz|euron|eurenganaino|berorrenganaino|eurogandik|berorietara|bertako|beraietaraino|berorretatik|bertarako|euronganaino|berarekin|eurek|berorienganik|eurengatik|eurok|beroriengandik|berorretarat|beraietan|bereganantz|beragan|berorretarantz|berorrenganako|beraietako|bertara|berorrentzat|berorrengatik|eurongan|berorrenganik|berorienganako|berorietarik|beroriegatik|berorri|bereganik|euren|berorienganat|bereganaino|beraien|beraientzat|eurontzat|euroganik|berorrezaz|beroriendako|beroriengana|beraienganantz|berorrengan|eurongana|beraienganaino|beraienganako|beraiengan|euregandik|beraiengatik|eurenganako|berorientzat|berorretaraino|berorren baitan|eurokin|berorren|berorrekin|eurenganantz|berari|beraiei|berorrengana|beregandik|beraiekin|berorietaz|berorrendako|berorietako|eurengana|beraiek|berorietatik|berorienganaino|beraiez|berorienganantz|eurengan|berorretarik|berorien baitan|eurongatik|beraietarantz|eurentzat|beroriengan|bere|berorretaz|berarengan	<i>pron</i><br><ol><li>(chiefly Biscayan) Third-person plural personal pronoun; they</li></ol>
euren burua|beren buruarengana|elkarrengan|zeure bururantz|bere buruaren|geure buruarengandik|elkarren|geure buruari|geure buruarengatik|bere buruarekin|bere buruarengan|bere burutik|euren buruarekin|zeure buruarenganantz|heure buruarentzat|zeure buruarekin|bere buruko|elkarrengatik|beren buruan|neure bururako|zeure buruarengan|euren buruak|geure buruarekin|elkarrengandik|euren bururako|zeure buruarenganako|euren buruko|geure buruarenganako|zeuen burua|beren buruarentzat|zeure buruarenganaino|beren buruarenganaino|beren buruko|bere buruarengatik|neure buruko|bere bururako|zeure bururaino|beren bururantz|zeuen buruarengana|geure buruaz|euren buruarengan|zeure buruarengana|zeure burura|neure buruarenganako|neure buruaren|neure bururaino|zeuen buruarengandik|elkarrekin|zeuen buruarengatik|heure buruarengandik|beren buruak|euren burua|neure buruan|elkarrenganaino|neure buruaz|beren bururaino|elkarrenganantz|geure buruak|geure buruaren|euren buruaren|zeuen buruaren|neure buruarekin|neure buruarengatik|zeuen buruak|euren buruarengatik|zeuen buruarengan|zeuen buruko|geure buruko|neure bururantz|neure buruarengana|neure buruarengandik|zeure buruaren|heure buruaz|beren bururako|beren burutik|heure burua|zeuen buruarentzat|heure buruko|bere buruarenganaino|beren buruarengan|heure buruarekin|bere buruarenganako|bere burura|zeuen bururako|zeuen buruarenganako|elkarrez|elkar|heure bururaino|heure buruaren|heure buruarengatik|beren buruaz|euren buruarengana|bere buruaz|heure buruarengan|geure buruarenganaino|geure buruan|geure bururako|euren buruarenganako|beren buruarengandik|neure buruari|geure buruarengana|heure buruarengana|zeuen buruari|beren buruaren|elkarrenganako|zeure buruarengandik|bere bururaino|heure buruarenganaino|zeure bururako|geure buruarenganantz|euren buruarenganaino|heure burura|zeuen buruarekin|heure buruan|zeure buruari|bere buruarengana|zeuen bururaino|zeure burutik|neure buruarenganantz|heure bururantz|beren buruarengatik|euren buruari|zeuen buruarenganaino|geure burua|beren burua|neure buruarenganaino|elkarri|zeure buruan|bere buruarentzat|euren burutik|zeure buruarentzat|euren buruarenganantz|bere buruari|beren buruarenganako|euren buruarengandik|euren bururantz|zeure burua|euren buruarentzat|bere buruarenganantz|neure buruarengan|zeure buruarengatik|heure bururako|heure buruarenganantz|elkarrentzat|geure bururaino|neure burutik|heure burutik|neure buruarentzat|beren buruari|euren buruaz|geure buruarengan|geure burura|geure burutik|heure buruarenganako|zeuen burutik|zeure buruaz|euren bururaino|zeuen buruaz|neure burua|beren buruarenganantz|heure buruari|beren buruarekin|euren buruan|bere bururantz|bere buruan|geure buruarentzat|euren burura|neure burura|zeuen buruan|zeuen burura|elkarrengana|zeuen bururantz|beren burura|bere burua|geure bururantz|zeuen buruarenganantz|bere buruarengandik|zeure buruko	<i>pron</i><br><ol><li>Third-person plural reflexive pronoun; themselves</li></ol>
euri|euritakorekin|eurietako|euritarako|euritakoarengatik|euritatik|euritakoren|euritako|euriaz|euritakoetarako|euriaren|euritik|euritakoa|euritakotzat|eurietarantz|eurirengatik|euriz|euriez|euriarengatik|euritakoen|eurietara|eurientzat|euriari|euriarentzat|eurirantz|euritakotatik|euritakoko|euritakotarako|euria|eurik|euritakora|euriri|euriei|euriak|euriengatik|euritakoetaraino|euritakoarekin|euritakotaraino|euritakorentzat|euritakoez|euritakotarantz|euritakok|euritan|euritakoei|eurirekin|euriekin|euritakotara|euritakotako|euritakorengatik|eurien|euritakoan|euritakorantz|eurian|euritakoaz|euriek|eurirentzat|euritakorik|eurira|eurirako|euritakoaren|euritakotik|euritakoengatik|euritarantz|euritzat|euritakoarentzat|euritakotan|euritakoetako|euritakorako|euritakoetatik|eurietan|euritara|euritakori|euritakoentzat|euritakoetan|euritakoetara|euriren|euriarekin|euritakoekin|euririk|euritakoari|euritaraino|eurietaraino|euritakoraino|euritakoek|euritakoetarantz|euritakoz|euriraino|euritakoak|eurietarako|euriko|eurietatik	<i>noun</i><br><ol><li>rain</li></ol>
euritako|euritakoei|euritakoarentzat|euritakotan|euritakorekin|euritakoetako|euritakotara|euritakorako|euritakoetatik|euritakotako|euritakoarengatik|euritakorengatik|euritakotatik|euritakoko|euritakotarako|euritakori|euritakoentzat|euritakoetan|euritakoren|euritakoetara|euritakoekin|euritakora|euritakoan|euritakoetarako|euritakoari|euritakorantz|euritakoaz|euritakoetaraino|euritakoraino|euritakoek|euritakoa|euritakoen|euritakoarekin|euritakoetarantz|euritakorik|euritakotzat|euritakoz|euritakotaraino|euritakorentzat|euritakoaren|euritakoez|euritakoak|euritakotik|euritakoengatik|euritakotarantz|euritakok	<i>noun</i><br><ol><li>umbrella</li></ol>
euritsu|euritsurengatik|euritsurengan|euritsuez|euritsutara|euritsuetara|euritsuarengandik|euritsurenganantz|euritsurengana|euritsuaz|euritsurantz|euritsutzat|euritsutarantz|euritsuenganantz|euritsuago|euritsurekin|euritsuenganaino|euritsurenganako|euritsurengandik|euritsuei|euritsuren|euritsuk|euritsuan|euritsuenganako|euritsuen|euritsurenganaino|euritsutarako|euritsuarentzat|euritsuekin|euritsuarengan|euritsuaren|euritsuengan|euritsuko|euritsutatik|euritsuri|euritsuetatik|euritsuarenganako|euritsurako|euritsuarengana|euritsuetarantz|euritsuarenganantz|euritsuetan|euritsuak|euritsuegi|euritsua|euritsuarekin|euritsurentzat|euritsuetako|euritsutako|euritsuengana|euritsurik|euritsuetarako|euritsuari|euritsuek|euritsuz|euritsutaraino|euritsuengatik|euritsuetaraino|euritsuengandik|euritsutik|euritsuraino|euritsutan|euritsuarenganaino|euritsuentzat|euritsura|euritsuarengatik	<i>adj</i><br><ol><li>rainy</li></ol>
eurok|bera|beretako|euronganako|eurei|bereganako|berorrenganat|beroriek|berainengandik|bertarik|eurekin|euronganantz|beraiegatik|berorietaraino|beregatik|euroi|bertarantz|berorretan|beroriekin|beretzat|berorrenganantz|beraietarako|berorien|berori|berorietarako|beraietarik|beroriei|eureganik|berorrek|beraietara|beraienganik|bertatik|beregana|beraienganat|eurak|berorrengandik|berak|berorretarako|beraietatik|berorretako|beroriengatik|berorietarantz|beraiengana|berorietarat|beroriezaz|bertaraino|berorietan|bertan|berorretara|berorregatik|beraz|euron|eurenganaino|berorrenganaino|eurogandik|berorietara|bertako|beraietaraino|berorretatik|bertarako|euronganaino|berarekin|eurek|berorienganik|eurengatik|eurok|beroriengandik|berorretarat|beraietan|bereganantz|beragan|berorretarantz|berorrenganako|beraietako|bertara|berorrentzat|berorrengatik|eurongan|berorrenganik|berorienganako|berorietarik|beroriegatik|berorri|bereganik|euren|berorienganat|bereganaino|beraien|beraientzat|eurontzat|euroganik|berorrezaz|beroriendako|beroriengana|beraienganantz|berorrengan|eurongana|beraienganaino|beraienganako|beraiengan|euregandik|beraiengatik|eurenganako|berorientzat|berorretaraino|berorren baitan|eurokin|berorren|berorrekin|eurenganantz|berari|beraiei|berorrengana|beregandik|beraiekin|berorietaz|berorrendako|berorietako|eurengana|beraiek|berorietatik|berorienganaino|beraiez|berorienganantz|eurengan|berorretarik|berorien baitan|eurongatik|beraietarantz|eurentzat|beroriengan|bere|berorretaz|berarengan	<i>pron</i><br><ol><li>(chiefly Biscayan) Third-person plural personal pronoun; they</li><li>(chiefly Biscayan, formal) Second-person plural personal pronoun; you</li></ol>
euskal	<i>adj</i><br><ol><li>(attributive) Basque (relating to the Basque people or their language)</li></ol>
euskaldun|euskaldunak|euskaldunarenganako|euskaldunengatik|euskaldunengana|euskaldunengandik|euskaldunei|euskalduntzat|euskalduna|euskaldunarenganantz|euskaldunekin|euskaldunarengatik|euskaldunarekin|euskaldunarentzat|euskaldunenganaino|euskaldunari|euskaldunarengana|euskaldunarengan|euskalduni|euskaldunen|euskaldunek|euskaldunentzat|euskaldunarenganaino|euskaldunenganako|euskaldunaren|euskaldunik|euskaldunengan|euskaldunaz|euskaldunenganantz|euskaldunarengandik|euskaldunez	<i>noun</i><br><ol><li>Basque (member of a people)</li><li>Basque-speaker</li></ol>
euskalki|euskalkien|euskalkietan|euskalkia|euskalkirik|euskalkiren|euskalkiarekin|euskalkietako|euskalkitako|euskalkiari|euskalkiek|euskalkik|euskalkietarantz|euskalkiak|euskalkitan|euskalkiez|euskalkiko|euskalkiarengatik|euskalkiaz|euskalkiraino|euskalkiri|euskalkietaraino|euskalkitzat|euskalkiengatik|euskalkirengatik|euskalkitatik|euskalkitara|euskalkiekin|euskalkira|euskalkitarantz|euskalkiarentzat|euskalkirantz|euskalkiz|euskalkietara|euskalkitaraino|euskalkiei|euskalkian|euskalkirekin|euskalkiaren|euskalkirako|euskalkietatik|euskalkietarako|euskalkirentzat|euskalkitarako|euskalkitik|euskalkientzat	<i>noun</i><br><ol><li>dialect of the Basque language</li></ol>
euskaltegi|euskaltegitarantz|euskaltegiarekin|euskaltegietarako|euskaltegiak|euskaltegitaraino|euskaltegirantz|euskaltegiengatik|euskaltegian|euskaltegiko|euskaltegiraino|euskaltegien|euskaltegietarantz|euskaltegirengatik|euskaltegitzat|euskaltegientzat|euskaltegitarako|euskaltegirekin|euskaltegitara|euskaltegik|euskaltegietako|euskaltegiz|euskaltegietan|euskaltegietaraino|euskaltegiarentzat|euskaltegietatik|euskaltegiaren|euskaltegia|euskaltegietara|euskaltegiri|euskaltegitako|euskaltegiei|euskaltegiarengatik|euskaltegiez|euskaltegira|euskaltegiaz|euskaltegitan|euskaltegiek|euskaltegirako|euskaltegirik|euskaltegiren|euskaltegiekin|euskaltegiari|euskaltegitatik|euskaltegitik|euskaltegirentzat	<i>noun</i><br><ol><li>A school for teaching the Basque language.</li></ol>
euskaltzale|euskaltzalerekin|euskaltzalerengandik|euskaltzaleengana|euskaltzalerengana|euskaltzaleenganako|euskaltzaleenganantz|euskaltzaleenganaino|euskaltzaleaz|euskaltzalearengan|euskaltzalearenganaino|euskaltzalearen|euskaltzaleek|euskaltzaleei|euskaltzalerenganako|euskaltzaleren|euskaltzalearentzat|euskaltzalerenganaino|euskaltzaleari|euskaltzaleak|euskaltzaletzat|euskaltzalerentzat|euskaltzaleekin|euskaltzaleengan|euskaltzaleengandik|euskaltzalerik|euskaltzalerengatik|euskaltzalerenganantz|euskaltzalearenganantz|euskaltzaleen|euskaltzalea|euskaltzalearengatik|euskaltzalez|euskaltzalerengan|euskaltzaleri|euskaltzalek|euskaltzaleez|euskaltzalearekin|euskaltzalearengana|euskaltzaleentzat|euskaltzalearengandik|euskaltzalearenganako|euskaltzaleengatik	<i>noun</i><br><ol><li>expert in Basque studies</li><li>Someone who admires the Basque language or culture.</li></ol>
