cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
प्रमोद|pramoda	<i>noun</i><br><ol><li>excessive joy, delight, gladness</li><li>one of the 8 सांख्य perfections</li><li>(with जैनs) joy as exhibited in the virtuous</li><li>Pleasure personified. (as a child of ब्रह्मा.)</li><li>the 4th year in a 60 years' cycle of Jupiter</li><li>a strong perfume</li></ol>
प्रयत्न|प्रयत्नात्|a-stem|प्रयत्ने|प्रयत्नान्|प्रयत्नेषु|प्रयत्नस्य|प्रयत्नयोः|प्रयत्नासः1|प्रयत्नम्|प्रयत्नाभ्याम्|प्रयत्नेभ्यः|प्रयत्नौ|प्रयत्नानाम्|प्रयत्नैः|prayatna|प्रयत्नेभिः1|प्रयत्नाय|प्रयत्नः|प्रयत्नाः|प्रयत्नेन	<i>noun</i><br><ol><li>effort; endeavor; try; attempt</li><li>precaution; great care</li></ol>
प्रयाण|प्रयाणेभिः1|प्रयाणा1|prayā́ṇa|प्रयाणम्|प्रयाणाभ्याम्|प्रयाणयोः|प्रयाणेषु|a-stem|प्रयाणस्य|प्रयाणे|प्रयाणैः|प्रयाणेभ्यः|प्रयाणात्|प्रयाणानाम्|प्रयाणानि|प्रयाणेन|प्रयाणाय	<i>noun</i><br><ol><li>journey, motion onwards, progress, the act of moving forward</li><li>setting out, starting, commencement, beginning</li><li>the act of going away, departure; death</li></ol>
प्रयुज्|prayuj	<i>noun</i><br><ol><li>acquisition</li></ol>
प्रलोभ|pralobha	<i>noun</i><br><ol><li>allurement, seduction</li></ol>
प्रवते|právatay|प्रु|právate	<i>verb</i><br><ol><li>to spring up, jump</li></ol>
प्रवदति|pravadati|प्रवद्	<i>verb</i><br><ol><li>to name</li><li>to offer for sale</li><li>to speak out; to raise voice; to roar</li><li>to say; to speak to (someone); to tell</li><li>to assert, proclaim, declare, affirm, state, pronounce, utter; splash</li><li>to call</li></ol>
प्रवर|प्रवराणाम्|प्रवरैः|a-stem|pravara|प्रवरासः1|प्रवरेण|प्रवरौ|प्रवरेषु|प्रवराभिः|प्रवरायाः|प्रवराय|प्रवराणि|प्रवराभ्याम्|प्रवरान्|प्रवरम्|प्रवराम्|प्रवराः|प्रवरायाम्|प्रवरः|प्रवरे|प्रवरासु|ā-stem|प्रवरेभ्यः|प्रवरा|प्रवरा1|प्रवराभ्यः|प्रवरया|प्रवरात्|प्रवरेभिः1|प्रवरायै|प्रवरस्य|प्रवरयोः	<i>adj</i><br><ol><li>best, finest</li><li>excellent, noble</li></ol>
प्रवस्ते|वस्|pravaste	<i>verb</i><br><ol><li>(clothing) to put on, don, wear</li></ol>
प्रवह|pravaha	<i>adj</i><br><ol><li>bearing along, carrying</li></ol><br><i>noun</i><br><ol><li>wind, air</li><li>a reservoir into which water is carried</li><li>flowing or streaming forth</li><li>going forth, going from a town</li></ol><br><i>name</i><br><ol><li>name of one of the 7 winds said to cause the motion of the planets</li><li>name of one of the 7 tongues of fire</li></ol>
प्रवहति|प्रवहिष्यति|अप्रवहाम|प्रवोढारौ|प्रवहते|अप्रवहताम्|प्रवहितारौ|प्रवक्ष्यतः|प्रौह्यताम्|प्रौह्यध्वम्|प्रवहै|pravahati|प्रवहिष्यामः|प्रवहत्|प्रवहेवहि|अप्रवहाव|अप्रौह्ये|प्रवहे|प्रवक्ष्यथ|प्रवहेते|प्रवक्ष्यथः|प्रवहस्व|प्रवहिष्यामि|प्रवोढास्थः|अप्रवहतम्|प्रवहावहै|प्रवहेः|अप्रवहथाः|प्रवहावहे|प्रवक्ष्ये|प्रवक्ष्यते|प्रवक्ष्येथे|प्रवहिष्यसि|प्रवहेमहि|प्रवहतम्|प्रवक्ष्यावहे|प्रवोढासि|प्रवक्ष्येते|प्रवहिष्यावः|प्रवहन्ति|प्रौह्यावहै|प्रवहेव|प्रवक्ष्यति|प्रवोढास्थ|प्रवहिष्ये|प्रवहानि|प्रौह्यै|प्रवहिष्यन्ते|प्रवोढास्वः|प्रवहेतम्|प्रवह्|प्रवहिष्यथ|प्रवहत|प्रवहिष्येते|प्रवहिष्यतः|प्रवहेयुः|प्रवहिष्यामहे|प्रौह्यामहै|प्रवहिष्यावहे|प्रवहिष्यथः|प्रवहेमः|or|प्रवक्ष्यसे|प्रौह्ये|प्रौह्येय|प्रौह्येयाताम्|प्रवहन्ते|प्रवहेत|अप्रौह्येताम्|अप्रौह्यामहि|प्रवहामहै|प्रवहसि|प्रवहथः|अप्रवहन्त|प्रवहिष्येथे|प्रवहिता|प्रवहथ|प्रवहन्ताम्|प्रवहेय|अप्रवहन्|प्रौह्येथे|प्रौह्यस्व|प्रवहेताम्|प्रवहसे|प्रौह्यसे|प्रवहितारः|अप्रौह्यत|प्रवहध्वम्|प्रौह्येत|प्रवक्ष्यन्ते|अप्रवहामहि|अप्रौह्यध्वम्|प्रवहेयम्|प्रौह्येताम्|प्रवह|प्रौह्येरन्|अप्रवहः|प्रौह्येयाथाम्|प्रवहितास्मि|प्रवहन्त्|प्रौह्यध्वे|प्रवहितास्थः|प्रवहन्तु|प्रवहेयाथाम्|अप्रौह्यावहि|प्रवहेत्|प्रवहेयाताम्|प्रौह्येते|प्रौह्यन्ते|प्रवहिष्यसे|प्रवहमान|प्रवक्ष्यध्वे|प्रवहितास्मः|प्रवहिष्यन्ति|प्रवहामः|प्रौह्यते|प्रवोढा|प्रौह्यन्ताम्|प्रवहितास्वः|प्रवोढास्मि|अप्रवहेथाम्|प्रवहतु|प्रवहितास्थ|अप्रौह्यन्त|प्रवक्ष्यावः|अप्रवहावहि|प्रवोढारः|अप्रवहध्वम्|प्रवहेथाम्|प्रवक्ष्यामि|प्रवक्ष्यसि|प्रवहध्वे|प्रवहेथाः|अप्रौह्येथाम्|प्रवहामि|प्रवहावः|प्रवहामहे|प्रौह्यमान|प्रवक्ष्यन्ति|प्रवोढास्मः|प्रौह्येथाः|प्रवहतः|अप्रवहेताम्|प्रवहिष्यते|प्रवहिष्यध्वे|अप्रवहम्|अप्रवहत्|प्रवहेध्वम्|अप्रौह्यथाः|प्रवहाम|प्रवक्ष्यामः|प्रौह्येध्वम्|प्रौह्यावहे|प्रवहताम्|अप्रवहत|अप्रवहे|प्रौह्येवहि|प्रौह्येमहि|प्रवहाव|प्रवहेरन्|प्रौह्यामहे|प्रौह्येथाम्|प्रवहेथे|प्रवक्ष्यामहे|प्रवहितासि	<i>verb</i><br><ol><li>to flow, rush</li><li>to flood, overflow</li><li>to bear</li><li>to carry forward, to bring forth, bring forward</li></ol>
