(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
tolkē|tol̯k̯ijtē|tol̯k̯ēptāk̯ëk|tol̯k̯ijnē|tol̯k̯ēn|tol̯k̯ēsnē|tol̯k̯ēk|tol̯k̯ij|tol̯k̯ijnë|tolkētē|tolkās̯ën|tol̯k̯ijstē|tol̯k̯ēstē|tol̯k̯ēm|tolkēnē	<i>noun</i><br><ol><li>feather</li></ol>
tolë|tol̯ëm|tol̯ën|tol̯ëjnē|tol̯ëjnë|tol̯ësnē|tol̯ëptāk̯ëk|tolës̯ën|tolëtē|tol̯ëjtē|tol̯ëj|tol̯ëk|tolënē|tol̯ëstē|tol̯ëjstē	<i>noun</i><br><ol><li>fire</li></ol>
tomtujëtēk	
tomtëtēk	<i>verb</i><br><ol><li>to know</li><li>to feel</li></ol>
tonë	<i>pron</i><br><ol><li>you (singular)</li></ol>
tonōj	<i>pron</i><br><ol><li>you two (dual)</li></ol>
toppë|top̯p̯ëj|top̯p̯ëk|top̯p̯ëjstē|toppënē|toppëtē|top̯p̯ëstē|top̯p̯ën|top̯p̯ëjnē|toppës̯ën|top̯p̯ëptāk̯ëk|top̯p̯ëm|top̯p̯ësnē|top̯p̯ëjtē|top̯p̯ëjnë	<i>noun</i><br><ol><li>sheath</li></ol>
topëtēk	<i>verb</i><br><ol><li>to stick (of snow)</li></ol>
totë	<i>det</i><br><ol><li>yonder, that way over there (very far from speaker and listener)</li></ol>
toŋkē|toŋ̯k̯ēk|toŋkēnē|toŋ̯k̯ijstē|toŋ̯k̯ēptāk̯ëk|toŋ̯k̯ēm|toŋ̯k̯ijnē|toŋ̯k̯ij|toŋ̯k̯ēsnē|toŋ̯k̯ēstē|toŋ̯k̯ijnë|toŋ̯k̯ijtē|toŋ̯k̯ēn|toŋkās̯ën|toŋkētē	<i>noun</i><br><ol><li>abomasum</li></ol>
tulvē|tul̯v̯ijstē|tul̯v̯ēsnē|tulvēnē|tul̯v̯ijnë|tul̯v̯ij|tul̯v̯ēk|tul̯v̯ijnē|tulvētē|tulvās̯ën|tul̯v̯ēptāk̯ëk|tul̯v̯ēstē|tul̯v̯ēn|tul̯v̯ēm|tul̯v̯ijtē	<i>noun</i><br><ol><li>flood</li></ol>
tuojušëtēk	
tuojē|tuoj̯ēptāk̯ëk|tuojās̯ën|tuoj̯ij|tuoj̯ijnë|tuoj̯ijstē|tuoj̯ēm|tuoj̯ijtē|tuoj̯ijnē|tuoj̯ēsnē|tuojētē|tuoj̯ēstē|tuoj̯ēn|tuoj̯ēk|tuojēnē	<i>noun</i><br><ol><li>handicraft, duodji</li></ol>
tuokëtēk	<i>verb</i><br><ol><li>to sell</li></ol>
tuokē|tuok̯ēk|tuok̯ēptāk̯ëk|tuokētē|tuok̯ēstē|tuok̯ijstē|tuokēnē|tuok̯ijnē|tuok̯ijnë|tuok̯ijtē|tuok̯ēsnē|tuokās̯ën|tuok̯ēn|tuok̯ēm|tuok̯ij	<i>noun</i><br><ol><li>back, rear</li></ol>
tuokŋëtēk	<i>verb</i><br><ol><li>to patch, to mend</li></ol>
tuoljē|tuol̯j̯ēsnē|tuol̯j̯ēstē|tuol̯j̯ēptāk̯ëk|tuol̯j̯ēk|tuoljētē|tuol̯j̯ijnë|tuol̯j̯ēm|tuol̯j̯ij|tuol̯j̯ēn|tuol̯j̯ijstē|tuol̯j̯ijnē|tuoljēnē|tuoljās̯ën|tuol̯j̯ijtē	<i>noun</i><br><ol><li>animal hide</li></ol>
tuolmëtēk	<i>verb</i><br><ol><li>to tread</li></ol>
tuolpë	<i>adj</i><br><ol><li>flat</li></ol>
tuoltëtēk	<i>verb</i><br><ol><li>to boil</li></ol>
tuontër|tuontër̯ëstē|tuontër̯ëk|tuon̯t̯ërnē|tuontër̯ëjnē|tuon̯t̯ër̯s̯ën|tuon̯t̯ërtē|tuontër̯ën|tuontër̯ësnē|tuontër̯ëjstē|tuontër̯ëj|tuontër̯ëptāk̯ëk|tuontër̯ëm|tuontër̯ëjnë|tuon̯t̯ër|tuontër̯ëjtē	<i>noun</i><br><ol><li>fell</li></ol>
tuontē|tuon̯t̯ijstē|tuontētē|tuontās̯ën|tuon̯t̯ēm|tuon̯t̯ēsnē|tuon̯t̯ēk|tuontēnē|tuon̯t̯ēn|tuon̯t̯ēptāk̯ëk|tuon̯t̯ij|tuon̯t̯ēstē|tuon̯t̯ijnë|tuon̯t̯ijtē|tuon̯t̯ijnē	<i>noun</i><br><ol><li>addition</li></ol>
tuontētēk	<i>verb</i><br><ol><li>to endure, to hold out</li></ol>
tuonë|tuon̯ëstē|tuonëtē|tuon̯ëm|tuon̯ëjtē|tuon̯ëk|tuon̯ën|tuon̯ëptāk̯ëk|tuonënē|tuon̯ëjstē|tuonës̯ën|tuon̯ëjnë|tuon̯ëjnē|tuon̯ësnē|tuon̯ëj	<i>noun</i><br><ol><li>poor thing</li><li>smell of starvation</li></ol>
tuopëtēk	<i>verb</i><br><ol><li>to pile in a rope</li></ol>
tuorkë|tuor̯k̯ëjtē|tuorkënē|tuorkës̯ën|tuor̯k̯ëm|tuor̯k̯ëk|tuorkëtē|tuor̯k̯ëstē|tuor̯k̯ëjstē|tuor̯k̯ëptāk̯ëk|tuor̯k̯ën|tuor̯k̯ëjnë|tuor̯k̯ëj|tuor̯k̯ëjnē|tuor̯k̯ësnē	<i>noun</i><br><ol><li>twig</li></ol>
tuorpëtēk	<i>verb</i><br><ol><li>to need</li></ol>
tuorpōtēk	<i>verb</i><br><ol><li>to splash water with a rod</li></ol>
tuorëtēk	<i>verb</i><br><ol><li>to hem</li></ol>
tuostëtēk	<i>verb</i><br><ol><li>to dare</li></ol>
tuostōtēk	<i>verb</i><br><ol><li>to catch</li></ol>
tuosëtēk	<i>verb</i><br><ol><li>to light, to illuminate</li></ol>
tuotkë|tuot̯k̯ën|tuot̯k̯ëptāk̯ëk|tuotkënē|tuot̯k̯ëj|tuot̯k̯ëk|tuotkëtē|tuot̯k̯ëjstē|tuotkës̯ën|tuot̯k̯ëjnë|tuot̯k̯ësnē|tuot̯k̯ëjtē|tuot̯k̯ëjnē|tuot̯k̯ëm|tuot̯k̯ëstē	<i>noun</i><br><ol><li>guts (especially of fish)</li></ol>
tuotë	<i>det</i><br><ol><li>that (not near the speaker or listener), that over there</li></ol><br><i>adj</i><br><ol><li>true</li></ol>
tuovlē|tuov̯l̯ijnē|tuov̯l̯ij|tuov̯l̯ēk|tuov̯l̯ēsnē|tuov̯l̯ijtē|tuov̯l̯ēm|tuov̯l̯ēptāk̯ëk|tuov̯l̯ijnë|tuovlēnē|tuov̯l̯ēn|tuov̯l̯ēstē|tuovlētē|tuovlās̯ën|tuov̯l̯ijstē	<i>noun</i><br><ol><li>tinder</li></ol>
tuoŋkē|tuoŋ̯k̯ij|tuoŋkās̯ën|tuoŋ̯k̯ijnē|tuoŋ̯k̯ijstē|tuoŋ̯k̯ēptāk̯ëk|tuoŋkēnē|tuoŋ̯k̯ēn|tuoŋ̯k̯ēsnē|tuoŋ̯k̯ēk|tuoŋ̯k̯ēstē|tuoŋ̯k̯ijtē|tuoŋ̯k̯ēm|tuoŋ̯k̯ijnë|tuoŋkētē	<i>noun</i><br><ol><li>tangle</li></ol>
tuvnē	<i>noun</i><br><ol><li>dung heap</li></ol>
tuvtētēk	<i>verb</i><br><ol><li>to support</li></ol>
tëktēr	<i>noun</i><br><ol><li>daughter</li></ol>
tëkujëtēk	<i>verb</i><br><ol><li>to be done/made</li></ol>
tëkëttētēk	<i>verb</i><br><ol><li>to cause to do/make</li></ol>
tëkëtēk	<i>verb</i><br><ol><li>to do</li><li>to make</li></ol>
tënē|tën̯ēstē|tën̯ēptāk̯ëk|tën̯ijtē|tënētē|tën̯ijnē|tën̯ēm|tënās̯ën|tënēnē|tën̯ijnë|tën̯ij|tën̯ijstē|tën̯ēk|tën̯ēsnē|tën̯ēn	<i>noun</i><br><ol><li>tin (metal)</li></ol>
tëppëtēk	<i>verb</i><br><ol><li>to block</li></ol>
tërvē|tër̯v̯ijtē|tër̯v̯ēn|tër̯v̯ēk|tër̯v̯ijnë|tërvēnē|tër̯v̯ēsnē|tër̯v̯ijnē|tërvētē|tër̯v̯ij|tër̯v̯ēstē|tër̯v̯ijstē|tër̯v̯ēptāk̯ëk|tër̯v̯ēm|tërvās̯ën	<i>noun</i><br><ol><li>tar</li></ol>
tërëtēk	<i>verb</i><br><ol><li>to harden</li></ol>
tëtë	<i>det</i><br><ol><li>it, that, the, the aforementioned</li></ol>
tëvē	<i>adj</i><br><ol><li>deep</li><li>north</li></ol>
tājōtēk	<i>verb</i><br><ol><li>to rave, to be delirious</li></ol>
tājδētēk	<i>verb</i><br><ol><li>to know (how)</li></ol>
tāktē|tāk̯t̯ijnē|tāktās̯ën|tāk̯t̯ēn|tāk̯t̯ij|tāktēnē|tāk̯t̯ēptāk̯ëk|tāk̯t̯ēm|tāk̯t̯ēstē|tāktētē|tāk̯t̯ijtē|tāk̯t̯ijstē|tāk̯t̯ēsnē|tāk̯t̯ēk|tāk̯t̯ijnë	<i>noun</i><br><ol><li>bone</li></ol>
tālkkës|tāl̯k̯k̯ës|tāl̯k̯k̯ësnē|tālkkës̯ëptāk̯ëk|tālkkës̯ëjtē|tālkkës̯ësnē|tālkkës̯ëk|tālkkës̯ëm|tāl̯k̯k̯ëstē|tālkkës̯ën|tālkkës̯ëstē|tāl̯k̯k̯ës̯s̯ën|tālkkës̯ëj|tālkkës̯ëjstē|tālkkës̯ëjnē|tālkkës̯ëjnë	<i>noun</i><br><ol><li>medicine</li></ol>
tāllës|tāl̯l̯ës̯s̯ën|tāl̯l̯ëstē|tāllës̯ëj|tāllës̯ëjnē|tāllës̯ëm|tāllës̯ëjtē|tāllës̯ëk|tāllës̯ëjnë|tāllës̯ën|tāllës̯ësnē|tāllës̯ëstē|tāllës̯ëptāk̯ëk|tāllës̯ëjstē|tāl̯l̯ës|tāl̯l̯ësnē	<i>noun</i><br><ol><li>hay bedding in a shoe</li></ol>
tālvē|tāl̯v̯ēk|tālvēnē|tālvētē|tāl̯v̯ēn|tālvās̯ën|tāl̯v̯ēstē|tāl̯v̯ijstē|tāl̯v̯ijtē|tāl̯v̯ij|tāl̯v̯ēsnē|tāl̯v̯ijnë|tāl̯v̯ēptāk̯ëk|tāl̯v̯ēm|tāl̯v̯ijnē	<i>noun</i><br><ol><li>winter</li></ol>
tāmmukkë	<i>noun</i><br><ol><li>brown trout</li></ol>
tāmëtēk	<i>verb</i><br><ol><li>to tame</li></ol>
tāmčëtēk	<i>verb</i><br><ol><li>to whet</li></ol>
tāplē|tāp̯l̯ēm|tāp̯l̯ēn|tāplēnē|tāp̯l̯ēsnē|tāp̯l̯ēstē|tāp̯l̯ijnë|tāp̯l̯ijnē|tāplētē|tāp̯l̯ēptāk̯ëk|tāp̯l̯ēk|tāp̯l̯ijtē|tāp̯l̯ijstē|tāplās̯ën|tāp̯l̯ij	<i>noun</i><br><ol><li>droplet</li></ol>
tārjëtēk	<i>verb</i><br><ol><li>to bear</li></ol>
tārmēttuovëtēk	
tārpëššëtēk	<i>verb</i><br><ol><li>to need, to require</li></ol>
tārëtēk	<i>verb</i><br><ol><li>to be delirious</li></ol>
tārō|tār̯ōk|tār̯ōjnē|tārus̯ën|tār̯ujnë|tārōtē|tār̯ōptāk̯ëk|tārōnē|tār̯ōn|tār̯ōm|tār̯ōjtē|tār̯ōsnē|tār̯ōjstē|tār̯ōstē|tār̯ōj	<i>noun</i><br><ol><li>foreigner</li></ol>
tāsnē|tās̯n̯ēn|tāsnās̯ën|tās̯n̯ijnë|tāsnēnē|tās̯n̯ēptāk̯ëk|tās̯n̯ēstē|tās̯n̯ēm|tās̯n̯ēk|tās̯n̯ijtē|tās̯n̯ēsnē|tās̯n̯ijstē|tās̯n̯ij|tāsnētē|tās̯n̯ijnē	<i>noun</i><br><ol><li>star</li></ol>
tātë	<i>det</i><br><ol><li>this (near the speaker)</li></ol>
tāvkē|tāv̯k̯ēk|tāv̯k̯ijnë|tāv̯k̯ijtē|tāvkētē|tāv̯k̯ēn|tāvkās̯ën|tāv̯k̯ēstē|tāvkēnē|tāv̯k̯ij|tāv̯k̯ēsnē|tāv̯k̯ēm|tāv̯k̯ijnē|tāv̯k̯ēptāk̯ëk|tāv̯k̯ijstē	<i>noun</i><br><ol><li>bow, arc</li></ol>
tāvtë|tāvtënē|tāv̯t̯ëjnë|tāvtëtē|tāv̯t̯ëj|tāv̯t̯ëk|tāv̯t̯ëjnē|tāv̯t̯ësnē|tāv̯t̯ën|tāv̯t̯ëjtē|tāv̯t̯ëjstē|tāv̯t̯ëm|tāv̯t̯ëstē|tāv̯t̯ëptāk̯ëk|tāvtës̯ën	<i>noun</i><br><ol><li>disease, sickness</li></ol>
tāvērē	<i>noun</i><br><ol><li>ware</li></ol>
tāńčë|tāń̯č̯ëjnë|tāń̯č̯ëj|tāń̯č̯ëk|tāńčës̯ën|tāń̯č̯ësnē|tāńčënē|tāń̯č̯ëjstē|tāń̯č̯ëjnē|tāń̯č̯ëm|tāńčëtē|tāń̯č̯ën|tāń̯č̯ëstē|tāń̯č̯ëjtē|tāń̯č̯ëptāk̯ëk	<i>noun</i><br><ol><li>Scandinavian, Northman</li></ol>
uccē|uccēs	<i>adj</i><br><ol><li>small</li></ol>
uksë|uksës̯ën|uk̯s̯ëjtē|uk̯s̯ësnē|uk̯s̯ëjstē|uk̯s̯ëjnë|uk̯s̯ën|uk̯s̯ëptāk̯ëk|uk̯s̯ëk|uk̯s̯ëm|uksënē|uk̯s̯ëjnē|uksëtē|uk̯s̯ëj|uk̯s̯ëstē	<i>noun</i><br><ol><li>door</li></ol>
ullō|ul̯l̯ōk|ul̯l̯ōjstē|ul̯l̯ōjtē|ullus̯ën|ullōnē|ullōtē|ul̯l̯ōptāk̯ëk|ul̯l̯ōm|ul̯l̯ōn|ul̯l̯ōj|ul̯l̯ujnë|ul̯l̯ōjnē|ul̯l̯ōstē|ul̯l̯ōsnē	<i>noun</i><br><ol><li>wool</li></ol>
urkkā	<i>noun</i><br><ol><li>biceps</li><li>hamstring muscle</li></ol>
urmē	<i>noun</i><br><ol><li>gadfly larva</li></ol>
urpē|urpēnē|ur̯p̯ij|ur̯p̯ijstē|ur̯p̯ijnē|ur̯p̯ēsnē|ur̯p̯ijnë|ur̯p̯ēptāk̯ëk|urpās̯ën|ur̯p̯ēstē|ur̯p̯ijtē|ur̯p̯ēm|urpētē|ur̯p̯ēn|ur̯p̯ēk	<i>noun</i><br><ol><li>catkin</li></ol>
veajkē|veaj̯k̯ēk|veajkās̯ën|veajkēnē|veaj̯k̯ēm|veajkētē|veaj̯k̯ēsnē|veaj̯k̯ijnë|veaj̯k̯ijtē|veaj̯k̯ēn|veaj̯k̯ijnē|veaj̯k̯ēptāk̯ëk|veaj̯k̯ijstē|veaj̯k̯ēstē|veaj̯k̯ij	<i>noun</i><br><ol><li>dusk</li></ol>
veajttëlës	<i>noun</i><br><ol><li>unguarded reindeer</li></ol>
veajētēk	<i>verb</i><br><ol><li>to be able</li></ol>
veakkē|veakkās̯ën|veak̯k̯ijnë|veak̯k̯ēstē|veak̯k̯ēk|veak̯k̯ēsnē|veak̯k̯ēn|veak̯k̯ēm|veakkēnē|veak̯k̯ijnē|veak̯k̯ijstē|veak̯k̯ij|veak̯k̯ijtē|veak̯k̯ēptāk̯ëk|veakkētē	<i>noun</i><br><ol><li>help, assistance</li></ol>
veakkēttētēk	<i>verb</i><br><ol><li>to help, to assist</li></ol>
vealkē|vealkēnē|veal̯k̯ij|veal̯k̯ēptāk̯ëk|veal̯k̯ēm|veal̯k̯ijtē|veal̯k̯ēn|vealkētē|vealkās̯ën|veal̯k̯ēsnē|veal̯k̯ēstē|veal̯k̯ijstē|veal̯k̯ijnē|veal̯k̯ēk|veal̯k̯ijnë	<i>noun</i><br><ol><li>debt</li></ol>
vealttētēk	<i>verb</i><br><ol><li>to avoid, to go around</li></ol>
vealāšëtēk	<i>verb</i><br><ol><li>to lie down</li></ol>
vealččōtēk	<i>verb</i><br><ol><li>to slip</li></ol>
veantē|vean̯t̯ijtē|vean̯t̯ijstē|vean̯t̯ēm|vean̯t̯ij|veantēnē|vean̯t̯ēptāk̯ëk|vean̯t̯ijnë|vean̯t̯ēsnē|vean̯t̯ēn|veantētē|vean̯t̯ēstē|veantās̯ën|vean̯t̯ijnē|vean̯t̯ēk	<i>noun</i><br><ol><li>root</li></ol>
veantētēk	<i>verb</i><br><ol><li>to keep tied</li></ol>
veapsē	<i>noun</i><br><ol><li>fin</li></ol>
veartē|vear̯t̯ēm|veartās̯ën|vear̯t̯ijstē|vear̯t̯ēsnē|veartētē|vear̯t̯ēn|vear̯t̯ijtē|veartēnē|vear̯t̯ij|vear̯t̯ēstē|vear̯t̯ijnë|vear̯t̯ijnē|vear̯t̯ēptāk̯ëk|vear̯t̯ēk	<i>noun</i><br><ol><li>amount</li></ol>
vearëtēk	<i>verb</i><br><ol><li>to carve</li></ol>
vearē|vear̯ijstē|vear̯ijnë|vear̯ēm|vear̯ijnē|vear̯ēn|vear̯ēsnē|vear̯ēptāk̯ëk|vear̯ēstē|vearētē|vear̯ēk|vearēnē|vear̯ij|vear̯ijtē|vearās̯ën	<i>noun</i><br><ol><li>wrong</li></ol>
vearō|vear̯ōstē|vear̯ōk|vear̯ujnë|vear̯ōm|vearōtē|vear̯ōjnē|vear̯ōjtē|vearōnē|vear̯ōptāk̯ëk|vear̯ōjstē|vear̯ōsnē|vear̯ōn|vearus̯ën|vear̯ōj	<i>noun</i><br><ol><li>offer</li><li>tax</li></ol>
veačērē	<i>noun</i><br><ol><li>hammer</li></ol>
veaškē|veaš̯k̯ijtē|veaškētē|veaš̯k̯ij|veaš̯k̯ēn|veaš̯k̯ijnē|veaš̯k̯ēstē|veaš̯k̯ijnë|veaš̯k̯ēptāk̯ëk|veaškēnē|veaš̯k̯ijstē|veaškās̯ën|veaš̯k̯ēm|veaš̯k̯ēk|veaš̯k̯ēsnē	<i>noun</i><br><ol><li>copper</li></ol>
vicārtëtēk	<i>verb</i><br><ol><li>to twitter, to sing (of birds)</li></ol>
vieksë	<i>adj</i><br><ol><li>strong</li></ol>
viekë|viek̯ëjstē|viek̯ësnē|viek̯ëptāk̯ëk|viekëtē|viek̯ëk|viekës̯ën|viek̯ëm|viek̯ëj|viek̯ëjnë|viek̯ëjtē|viek̯ëjnē|viekënē|viek̯ëstē|viek̯ën	<i>noun</i><br><ol><li>strength</li><li>many</li><li>people</li></ol>
viekëtēk	<i>verb</i><br><ol><li>to run (on two feet)</li></ol>
vieljë|viel̯j̯ëjnë|viel̯j̯ëstē|viel̯j̯ëjstē|vieljënē|viel̯j̯ëk|viel̯j̯ëm|viel̯j̯ëjtē|viel̯j̯ëptāk̯ëk|viel̯j̯ëjnē|vieljëtē|viel̯j̯ësnē|vieljës̯ën|viel̯j̯ëj|viel̯j̯ën	<i>noun</i><br><ol><li>brother</li></ol>
vielkë	<i>adj</i><br><ol><li>white</li></ol>
vielkëtē	<i>adj</i><br><ol><li>white</li></ol>
vielmē	<i>noun</i><br><ol><li>still point in a river</li></ol>
vielttē|viel̯t̯t̯ijnē|viel̯t̯t̯ēsnē|vielttās̯ën|viel̯t̯t̯ēm|viel̯t̯t̯ijstē|viel̯t̯t̯ēk|viel̯t̯t̯ēstē|viel̯t̯t̯ijnë|vielttēnē|viel̯t̯t̯ēptāk̯ëk|viel̯t̯t̯ēn|viel̯t̯t̯ijtē|viel̯t̯t̯ij|vielttētē	<i>noun</i><br><ol><li>cliff</li></ol>
vientër|vientër̯ëj|vientër̯ëjnē|vientër̯ëk|vien̯t̯ërnē|vientër̯ëjtē|vientër̯ëjnë|vientër̯ëjstē|vientër̯ëptāk̯ëk|vien̯t̯ërtē|vientër̯ëm|vientër̯ën|vien̯t̯ër|vientër̯ëstē|vien̯t̯ër̯s̯ën|vientër̯ësnē	<i>noun</i><br><ol><li>hill</li><li>bank</li></ol>
viepsēs	<i>noun</i><br><ol><li>wasp</li></ol>
vierccë|vier̯c̯c̯ësnē|vier̯c̯c̯ëstē|vier̯c̯c̯ëjstē|vier̯c̯c̯ëptāk̯ëk|vier̯c̯c̯ëj|vier̯c̯c̯ëjnē|vierccës̯ën|vierccëtē|vierccënē|vier̯c̯c̯ën|vier̯c̯c̯ëk|vier̯c̯c̯ëjnë|vier̯c̯c̯ëm|vier̯c̯c̯ëjtē	<i>noun</i><br><ol><li>ram (male sheep)</li></ol>
vierkē|vier̯k̯ēsnē|vier̯k̯ēm|vierkās̯ën|vier̯k̯ijstē|vier̯k̯ēk|vier̯k̯ēptāk̯ëk|vier̯k̯ijtē|vier̯k̯ij|vier̯k̯ijnē|vier̯k̯ijnë|vierkētē|vier̯k̯ēn|vierkēnē|vier̯k̯ēstē	<i>noun</i><br><ol><li>fur trim on a hat</li></ol>
viermē|viermās̯ën|vier̯m̯ēm|viermētē|viermēnē|vier̯m̯ijnē|vier̯m̯ijstē|vier̯m̯ēptāk̯ëk|vier̯m̯ēsnē|vier̯m̯ēn|vier̯m̯ij|vier̯m̯ijtē|vier̯m̯ijnë|vier̯m̯ēstē|vier̯m̯ēk	<i>noun</i><br><ol><li>net</li></ol>
vierttō|vierttōtē|vier̯t̯t̯ōstē|vier̯t̯t̯ōjtē|vierttus̯ën|vier̯t̯t̯ōm|vier̯t̯t̯ōj|vier̯t̯t̯ōsnē|vier̯t̯t̯ōn|vier̯t̯t̯ōjnē|vier̯t̯t̯ōptāk̯ëk|vier̯t̯t̯ujnë|vierttōnē|vier̯t̯t̯ōjstē|vier̯t̯t̯ōk	<i>noun</i><br><ol><li>clear, dry weather</li></ol>
vierë	<i>noun</i><br><ol><li>hill</li></ol>
vierëtēk	<i>verb</i><br><ol><li>to roll</li></ol>
vierēs	<i>adj</i><br><ol><li>strange, foreign</li></ol>
viesëtēk	<i>verb</i><br><ol><li>to tire, to become tired</li></ol>
vietkë|viet̯k̯ën|viet̯k̯ësnē|viet̯k̯ëjtē|viet̯k̯ëstē|vietkës̯ën|viet̯k̯ëk|viet̯k̯ëjstē|viet̯k̯ëjnë|viet̯k̯ëptāk̯ëk|viet̯k̯ëj|viet̯k̯ëm|viet̯k̯ëjnē|vietkënē|vietkëtē	<i>noun</i><br><ol><li>concave axe</li></ol>
viettëk	<i>noun</i><br><ol><li>species of duck</li></ol>
vievŋëtēk	<i>verb</i><br><ol><li>to get stuck, to snag</li></ol>
vieńčëtēk	<i>verb</i><br><ol><li>to fetch</li></ol>
vijδēs	<i>adj</i><br><ol><li>wide</li></ol>
vikëtēk	<i>verb</i><br><ol><li>to take, to bring</li></ol>
vilšōtēk	<i>verb</i><br><ol><li>to look around restlessly</li></ol>
virkē|vir̯k̯ij|vir̯k̯ēsnē|vir̯k̯ēstē|vir̯k̯ēptāk̯ëk|virkās̯ën|vir̯k̯ijtē|virkētē|vir̯k̯ēm|vir̯k̯ēn|virkēnē|vir̯k̯ijnē|vir̯k̯ijnë|vir̯k̯ijstē|vir̯k̯ēk	<i>noun</i><br><ol><li>office</li><li>position</li></ol>
virëtēk	<i>verb</i><br><ol><li>to fall over</li></ol>
viskë	<i>adj</i><br><ol><li>yellow</li></ol>
viskëtē	<i>adj</i><br><ol><li>yellow</li></ol>
vistē	<i>noun</i><br><ol><li>reindeer food</li></ol>
vistētēk	<i>verb</i><br><ol><li>to eat mushrooms</li></ol>
vittë	<i>num</i><br><ol><li>five</li></ol>
vitëntë	<i>adj</i><br><ol><li>fifth</li></ol>
vivë|viv̯ëptāk̯ëk|vivëtē|viv̯ëjstē|viv̯ëjnē|viv̯ësnē|viv̯ëj|vivënē|vivës̯ën|viv̯ëjnë|viv̯ëm|viv̯ëjtē|viv̯ëstē|viv̯ëk|viv̯ën	<i>noun</i><br><ol><li>son-in-law</li></ol>
viŋkëtēk	<i>verb</i><br><ol><li>to strive for</li></ol>
višëtēk	<i>verb</i><br><ol><li>to bother to</li></ol>
vuojkë	<i>adj</i><br><ol><li>right</li></ol>
vuojtëtēk	<i>verb</i><br><ol><li>to grease</li></ol>
vuojë|vuoj̯ën|vuoj̯ëm|vuoj̯ëj|vuoj̯ëptāk̯ëk|vuojënē|vuoj̯ëjnë|vuojës̯ën|vuoj̯ëjstē|vuojëtē|vuoj̯ëk|vuoj̯ëstē|vuoj̯ësnē|vuoj̯ëjnē|vuoj̯ëjtē	<i>noun</i><br><ol><li>butter</li></ol>
vuojëtēk	<i>verb</i><br><ol><li>to swim</li></ol>
vuojājëtēk	<i>verb</i><br><ol><li>to begin to drive</li></ol>
vuojēltētēk	
vuojētēk	<i>verb</i><br><ol><li>to drive</li></ol>
vuojŋë|vuoj̯ŋ̯ën|vuoj̯ŋ̯ëj|vuoj̯ŋ̯ësnē|vuoj̯ŋ̯ëjnë|vuoj̯ŋ̯ëjtē|vuoj̯ŋ̯ëstē|vuojŋës̯ën|vuoj̯ŋ̯ëk|vuoj̯ŋ̯ëptāk̯ëk|vuoj̯ŋ̯ëm|vuojŋëtē|vuojŋënē|vuoj̯ŋ̯ëjnē|vuoj̯ŋ̯ëjstē	<i>noun</i><br><ol><li>breath</li><li>spirit</li></ol>
vuojŋëtēk	<i>verb</i><br><ol><li>to breathe</li></ol>
vuojōtēk	<i>verb</i><br><ol><li>to sink</li></ol>
vuoksētēk	<i>verb</i><br><ol><li>to vomit</li></ol>
vuoktēńē|vuoktēńēnē|vuoktēń̯ēk|vuoktēń̯ējtē|vuoktēń̯ēj|vuoktēń̯ējnë|vuoktēń̯ēm|vuoktēń̯ējstē|vuoktēń̯ēptāk̯ëk|vuoktēń̯ēstē|vuoktēń̯ēsnē|vuoktēńētē|vuoktēń̯ējnē|vuoktēń̯ēn|vuoktēńās̯ën	
vuokē|vuokēnē|vuok̯ēptāk̯ëk|vuok̯ijtē|vuok̯ēn|vuok̯ēsnē|vuok̯ijstē|vuok̯ijnë|vuok̯ēm|vuokās̯ën|vuokētē|vuok̯ēk|vuok̯ijnē|vuok̯ij|vuok̯ēstē	<i>noun</i><br><ol><li>way, manner</li><li>custom</li></ol>
vuolkētēk	<i>verb</i><br><ol><li>to leave, to depart</li></ol>
vuolppō|vuol̯p̯p̯ōk|vuol̯p̯p̯ōj|vuol̯p̯p̯ōn|vuol̯p̯p̯ōjtē|vuol̯p̯p̯ōjstē|vuolppōnē|vuol̯p̯p̯ōsnē|vuol̯p̯p̯ōptāk̯ëk|vuol̯p̯p̯ujnë|vuolppus̯ën|vuolppōtē|vuol̯p̯p̯ōm|vuol̯p̯p̯ōjnē|vuol̯p̯p̯ōstē	<i>noun</i><br><ol><li>woman's coat</li><li>woman's hat</li></ol>
vuoltē	<i>adv</i><br><ol><li>from under</li></ol>
vuolëtēk	<i>verb</i><br><ol><li>to whittle</li></ol>
vuolānëtēk	
vuolē	<i>adv</i><br><ol><li>under</li></ol>
vuomtë|vuom̯t̯ësnē|vuom̯t̯ëjstē|vuom̯t̯ëj|vuom̯t̯ëjnë|vuom̯t̯ëptāk̯ëk|vuomtës̯ën|vuom̯t̯ëjtē|vuomtëtē|vuom̯t̯ëm|vuom̯t̯ëjnē|vuom̯t̯ëk|vuom̯t̯ën|vuom̯t̯ëstē|vuomtënē	<i>noun</i><br><ol><li>chest cavity</li></ol>
vuomtētēk	<i>verb</i><br><ol><li>to sell</li></ol>
vuomē|vuom̯ēk|vuomēnē|vuom̯ijtē|vuom̯ēn|vuom̯ijstē|vuom̯ēstē|vuom̯ijnë|vuom̯ēptāk̯ëk|vuomās̯ën|vuom̯ēm|vuomētē|vuom̯ij|vuom̯ēsnē|vuom̯ijnē	<i>noun</i><br><ol><li>forested valley</li></ol>
